pairid,A-word,B-word,Jones2002,Jones2012,Paradis2009Elicit,Paradis2009Judge,deWeijer2012,LowFreq,Canonical,CorePair,WordNet,Ant-Type,Morpological,POS,WordNet-Has-Antonyms,A-WordNet-Antonym,B-WordNet-Antonym,A-WordNet-Synsets,B-WordNet-Synsets
34,gay,straight,y,n,n,n,n,n,n,y,n,complementary,n,adj,neither,none,crooked;curved;curly;,7,21
35,general,late,n,n,n,n,y,n,u,y,n,none,n,adj,neither,local;specific;particular;,early,10,11
37,good,evil,n,n,y,y,n,n,n,y,y,scalar-unbounded,n,adj,both,evil;bad;,good,27,6
38,good,bad,y,n,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,evil;bad;,good,27,17
39,guilt,innocence,y,n,n,n,n,n,n,y,y,complementary,n,noun,both,innocence,guilt,2,3
40,happy,sad,y,n,n,n,y,n,n,y,n,scalar-unbounded,n,adj,neither,unhappy,glad,4,3
41,hard,soft,y,n,y,n,y,n,n,y,y,scalar-unbounded,n,adj,both,soft,loud;hardened;hard;,22,20
42,healthy,ill,n,n,n,n,y,y,n,y,n,scalar-unbounded,n,adj,neither,unhealthy,well,5,9
43,healthy,unhealthy,n,n,y,n,n,n,n,y,y,scalar-unbounded,y,adj,both,unhealthy,healthy,5,3
44,heroic,cowardly,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,brave,6,1
45,high,low,y,n,n,n,y,n,n,y,y,scalar-unbounded,n,adj,both,low;low_spirits;,high,18,16
46,honest,dishonest,y,n,n,n,n,n,n,y,y,scalar-bounded,y,adj,both,dishonest,honest,7,2
47,hot,cold,y,n,y,n,y,n,n,y,y,scalar-unbounded,n,adj,both,cold,hot,21,16
48,large,small,y,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,small,big;large;,11,13
49,lean,fat,n,y,y,y,n,n,n,y,n,scalar-unbounded,n,adj,neither,rich,thin,10,9
50,legal,illegal,y,n,n,n,n,n,n,y,y,complementary,n,adj,both,illegal,legal,5,1
51,light,dark,n,n ,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,heavy;dark;,light,47,16
52,light,heavy,y,n,y,n,n,n,n,y,y,scalar-unbounded,n,adj,both,heavy;dark;,light,47,30
53,little,big,n,y,y,n,n,n,n,y,y,scalar-unbounded,n,adj,both,big;much;,little;small;,10,17
54,long,short,y,n,n,n,y,n,n,y,y,scalar-unbounded,n,adj,both,short,long;tall;,12,23
55,love,hate,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,verb,both,hate,love,10,2
56,lucky,unlucky,n,n,n,n,n,n,n,n,y,scalar-unbounded,y,adj,both,unlucky,lucky,3,2
57,major,minor,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adj,both,minor,major,13,11
58,male,female,y,n,n,n,y,n,n,y,y,complementary,n,adj,both,female,male;androgynous;,6,5
59,married,unmarried,y,n,n,n,n,n,n,y,y,complementary,y,adj,both,unmarried,married,5,1
60,masculine,feminine,y,n,n,n,n,n,n,y,y,complementary,n,adj,both,feminine,masculine;neuter;,4,5
61,narrow,wide,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,widen;wide;,narrow,10,11
62,national,medical,n,n,n,n,y,n,u,y,n,none,n,adj,neither,local;international;,surgical,8,4
63,natural,artificial,y,n,n,n,n,n,n,y,y,scalar-bounded,n,adj,both,sharp;unnatural;supernatural;artificial;,natural,13,3
64,necessary,proper,n,n,n,n,y,n,u,y,n,none,n,adj,neither,unnecessary,improper,3,4
66,old,new,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adj,both,young;new;,worn;old;,9,12
67,open,closed,n,y,y,n,y,n,n,y,y,scalar-bounded,n,adj,both,shut;close;closed;,open,36,26
70,optimistic,pessimistic,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adj,both,pessimistic,optimistic,2,1
71,popular,early,n,n,n,n,y,n,u,y,n,none,n,adj,neither,unpopular,middle;late;,4,9
72,possible,impossible,n,n,n,n,n,n,n,n,y,scalar-bounded,y,adj,both,impossible,possible,4,4
74,public,private,y,n,n,n,n,n,n,y,y,complementary,n,adj,both,private,public,4,5
75,publicly,privately,y,n,n,n,n,n,n,y,y,complementary,n,adv,both,privately,publicly,2,2
76,quickly,slowly,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adv,both,slowly,quickly,3,2
77,rapid,slow,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,fast,3,11
78,rare,common,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,uncommon;individual;,6,10
79,relevant,appropriate,n,n,n,n,y,n,u,y,n,none,n,adj,neither,irrelevant,inappropriate,1,3
80,reward,punishment,y,n,n,n,n,n,n,y,n,converse,n,noun,neither,penalty,none,8,1
81,rich,poor,y,y,y,n,y,n,n,y,y,scalar-unbounded,n,adj,both,poor;lean;,rich,13,7
82,right,wrong,y,n,n,n,y,n,n,y,y,complementary,n,adj,both,left;wrong;wrongly;,right,36,13
83,rightly,wrongly,y,n,n,n,n,n,n,y,n,complementary,n,adv,neither,none,right,1,2
84,rough,smooth,n,n,y,n,y,y,n,y,y,scalar-unbounded,n,adj,both,smooth,rough;roughen;,18,12
85,rural,urban,y,n,n,n,n,n,n,y,y,complementary,n,adj,both,urban,rural,2,2
86,sad,glad,n,n,y,n,n,n,n,y,y,scalar-unbounded,n,adj,both,glad,sad,3,5
87,serious,financial,n,n,n,n,y,n,u,y,n,none,n,adj,neither,frivolous,nonfinancial,6,1
88,simple,effective,n,n,n,n,y,n,u,y,n,none,n,adj,neither,complex;compound;,ineffective,9,6
89,slim,fat,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,thin,3,9
90,strange,normal,n,n,n,n,y,y,n,y,n,scalar-unbounded,n,adj,neither,familiar,abnormal;paranormal;,3,5
91,strength,weakness,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,noun,both,weakness,strength,9,5
92,strong,weak,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,weak,strong,10,12
93,style,substance,y,n,n,n,n,n,n,y,n,converse,n,noun,neither,none,none,12,7
94,succeed,fail,y,n,n,n,n,n,n,y,y,scalar-bounded,n,verb,both,precede;fail;,pass;succeed;manage;,2,11
95,success,failure,y,n,n,n,n,n,n,y,y,scalar-bounded,n,noun,both,failure,success,4,7
96,sudden,gradual,n,n,n,n,y,y,n,y,y,scalar-unbounded,n,adj,both,gradual,sudden;steep;,1,3
97,sufficient,other,n,n,n,n,y,n,u,y,n,none,n,adj,neither,insufficient,same,1,4
98,temporary,permanent,y,n,n,n,y,n,n,y,n,complementary,n,adj,neither,none,impermanent,3,3
99,thick,thin,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,thin,full;thick;fat;thicken;,13,13
100,tiny,enormous,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,none,1,1
101,tiny,huge,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,none,1,1
102,total,current,n,n,n,n,y,n,u,y,n,none,n,adj,neither,none,noncurrent,7,4
103,vague,clear,n,n,n,n,y,y,n,y,n,scalar-unbounded,n,adj,neither,none,opaque;cloudy;bounce;unclear;,3,45
104,war,peace,y,n,n,n,n,n,n,y,y,complementary,n,noun,both,peace;make_peace;,war,5,5
105,wealthy,poor,n,y,n,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,rich,1,7
106,well,badly,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adv,both,badly;ill;,well,22,10
107,well,sick,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,badly;ill;,none,22,9
108,wet,dry,y,n,n,n,y,n,n,y,y,scalar-bounded,n,adj,both,dry,wet;phlegmy;sweet;,9,19
109,whole,fresh,n,n,n,n,y,n,u,y,n,none,n,adj,neither,half;fractional;,stale;preserved;salty;,8,13
110,win,lose,y,n,n,n,n,n,n,y,y,complementary,n,verb,both,lose,keep;find;profit;win;,6,11
111,young,old,y,n,y,n,y,n,n,y,y,scalar-unbounded,n,adj,both,aged;old;,young;new;,14,9
112,TRUE,FALSE,y,n,n,n,y,n,n,y,n,complementary,n,adj,neither,none,none,15,11
113,busy,idle,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,idle,run;busy;work;,6,10
114,unwelcome,welcome,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,welcome,unwelcome;say_farewell;,2,6
115,lawful,unlawful,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unlawful,lawful,4,5
116,irreversible,reversible,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,reversible,nonreversible;irreversible;,1,5
117,noisy,quiet,n,n,n,n,n,n,n,n,y,scalar-bounded,n,adj,both,quiet,active;noisy;unquiet;,2,13
119,integrated,segregated,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,segregated;nonintegrated;,integrated,8,4
121,intangible,tangible,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,tangible,intangible,5,4
122,curved,straight,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,straight,crooked;curved;curly;,6,21
123,experienced,inexperienced,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,inexperienced,experienced,6,1
124,normal,paranormal,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,abnormal;paranormal;,normal,5,2
125,backward,forward,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,forward,backward;reverse;,7,12
126,foreign,native,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,native;domestic;,adopted;nonnative;foreign;,4,7
127,successful,unsuccessful,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unsuccessful,successful,1,2
128,ethical,unethical,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unethical,ethical,3,1
129,first,second,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,last;second;,first,16,15
130,central,peripheral,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,peripheral,central,3,3
131,anti,pro,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,pro,anti;con;,2,4
132,dangerous,safe,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,safe,out;dangerous;,2,7
133,bottom,top,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,top;side;,bottom,12,22
134,junior,senior,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,senior,junior,7,5
135,regulated,unregulated,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unregulated,regulated,5,2
136,accurate,inaccurate,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,inaccurate,accurate,2,1
137,loud,soft,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,soft,loud;hardened;hard;,4,20
138,lax,tense,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,tense,relaxed;relax;lax;,4,8
139,functional,organic,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,nonfunctional;organic;,inorganic;functional;,6,7
140,joint,separate,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,separate,joint,13,19
142,bound,free,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,free;unbound;,bound;confine;unfree;obstruct;,27,22
143,future,past,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,past,present;future;,7,6
144,inside,outside,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,outside,inside,10,14
145,unwilling,willing,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,willing,unwilling,2,6
146,limited,unlimited,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unlimited,limited,11,3
147,clear,unclear,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,opaque;cloudy;bounce;unclear;,clear,45,3
148,cool,warm,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,warm;heat;,cool,11,13
149,smart,stupid,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,stupid,smart,9,4
150,compatible,incompatible,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,incompatible,compatible,3,9
151,favorable,unfavorable,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unfavorable,favorable,5,3
152,immature,mature,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,mature,immature,5,11
153,bold,timid,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,timid,bold;brave;,4,4
154,paid,unpaid,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unpaid,paid,14,3
155,local,national,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,express;national;general;,local;international;,5,8
156,appropriate,inappropriate,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,inappropriate,appropriate,3,2
157,valuable,worthless,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,worthless,valuable,3,2
158,immoral,moral,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,moral,immoral,2,3
159,alternate,opposite,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,opposite,alternate,10,11
160,domestic,foreign,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,foreign;undomestic;,native;domestic;,6,4
161,adoptive,biological,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,biological,adoptive,2,2
162,conservative,liberal,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,liberal,conservative,7,7
163,natural,supernatural,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,sharp;unnatural;supernatural;artificial;,natural,13,2
164,prepared,unprepared,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unprepared,prepared,11,1
165,extensive,intensive,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,intensive,extensive,3,4
166,reasonable,unreasonable,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unreasonable,reasonable,3,2
168,even,odd,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,odd;uneven;,even,14,6
169,fancy,plain,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,plain,patterned;fancy;,6,11
170,insufficient,sufficient,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,sufficient,insufficient,1,1
171,brave,cowardly,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,cowardly;timid;,brave,6,1
172,official,unofficial,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unofficial,official,7,2
173,minus,plus,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,plus,minus,3,4
174,affected,unaffected,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unaffected,affected,8,4
175,amateur,professional,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,professional,amateur;nonprofessional;unprofessional;,4,8
176,multiple,single,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,single,double;multiple;,2,10
177,powerful,powerless,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,powerless,powerful,6,1
178,close,distant,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,open;distant;,close,37,5
179,virtuous,wicked,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,wicked,virtuous,2,5
180,comfortable,uncomfortable,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,uncomfortable,comfortable,5,2
181,general,specific,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,local;specific;particular;,nonspecific;general;,10,6
182,northern,southern,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,southern,northern,5,4
183,fresh,stale,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,stale;preserved;salty;,fresh,13,3
184,other,same,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,same,different;other;,4,6
185,intense,mild,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,mild,intense,3,3
186,nominal,real,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,real,unreal;nominal;,7,13
187,cheap,expensive,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,expensive,cheap,4,1
188,active,quiet,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,dormant;inactive;passive;quiet;stative;extinct;,active;noisy;unquiet;,17,13
189,insecure,secure,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,secure,insecure,4,11
190,eligible,ineligible,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,ineligible,eligible,1,2
191,automatic,manual,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,manual,automatic,5,5
192,constructive,destructive,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,destructive,constructive,2,1
193,express,local,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,local,express;national;general;,13,5
194,finite,infinite,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,infinite,finite,2,5
196,loose,tight,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,tight;compact;,leaky;loose;,18,16
197,acceptable,unacceptable,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unacceptable,acceptable,4,4
198,authorized,unauthorized,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unauthorized,authorized,4,2
199,con,pro,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,pro,anti;con;,6,4
200,desirable,undesirable,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,undesirable,desirable,2,3
201,credible,incredible,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,incredible,credible,3,1
202,adequate,inadequate,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,inadequate,adequate,3,2
203,brave,timid,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,cowardly;timid;,bold;brave;,6,4
204,fresh,salty,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,stale;preserved;salty;,fresh,13,3
205,full,thin,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,empty;thin;,full;thick;fat;thicken;,13,13
206,guilty,innocent,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,innocent,guilty,2,8
207,east,west,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,west,east,7,10
208,competent,incompetent,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,incompetent,competent,3,6
209,manned,unmanned,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unmanned,manned,3,2
210,improper,proper,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,proper,improper,3,4
211,humble,proud,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,proud,humble,6,2
213,immortal,mortal,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,mortal,immortal,3,5
214,downstream,upstream,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,upstream,downstream,2,2
215,round,square,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,square,round,25,25
217,popular,unpopular,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unpopular,popular,4,1
218,insane,sane,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,sane,insane,2,2
219,absent,present,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,present,future;absent;,4,18
220,different,same,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,same,different;other;,5,6
221,common,individual,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,uncommon;individual;,common,10,6
222,invalid,valid,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,valid,invalid,5,2
223,clear,opaque,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,opaque;cloudy;bounce;unclear;,clear,45,2
224,active,dormant,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,dormant;inactive;passive;quiet;stative;extinct;,active,17,4
225,applied,theoretical,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,theoretical,empirical;applied;,11,2
226,out,safe,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,safe,out;dangerous;,17,7
227,profound,superficial,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,superficial,profound,6,3
228,hollow,solid,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,solid,liquid;hollow;,8,18
229,half,whole,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,whole,half;fractional;,6,8
230,employed,unemployed,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unemployed,employed,4,2
232,due,undue,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,undue,due,7,4
233,attached,detached,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,unattached;detached;,attached,9,9
234,unusual,usual,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,usual,unusual,3,2
235,harmful,harmless,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,harmless,harmful,1,1
236,new,worn,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,worn;old;,new,12,11
237,specified,unspecified,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unspecified,specified,8,1
238,extant,extinct,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,extinct,extant;active;,1,3
239,direct,indirect,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,inverse;indirect;alternating;retrograde;,direct,24,5
240,insensitive,sensitive,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,sensitive,insensitive,2,6
241,related,unrelated,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unrelated,related,7,2
242,instrumental,vocal,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,vocal,instrumental,2,6
244,tender,tough,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,tough,tender,18,12
245,equal,unequal,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unequal;differ;,equal,6,2
246,dull,sharp,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,sharp;bright;sharpen;lively;,dull;flat;,19,15
247,decent,indecent,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,indecent,decent,7,3
248,natural,unnatural,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,sharp;unnatural;supernatural;artificial;,natural,13,3
249,back,front,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,veer;ahead;advance;front;,rear;back;,28,13
250,focused,unfocused,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unfocused,focused,8,2
251,constitutional,unconstitutional,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unconstitutional,constitutional,5,1
252,asleep,awake,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,awake,asleep,5,3
253,anal,oral,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,oral,aboral;anal;,2,5
254,improbable,probable,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,probable,improbable,3,3
255,certain,uncertain,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,uncertain,certain,7,7
257,primary,secondary,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,secondary,primary,9,7
258,formal,informal,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,informal,formal,8,4
259,finished,unfinished,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unfinished,finished,11,3
260,abnormal,normal,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,normal,abnormal;paranormal;,3,5
261,live,recorded,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,recorded;dead;,live,19,7
262,dry,sweet,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,wet;phlegmy;sweet;,dry;sour;,19,16
264,inferior,superior,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,superior,inferior,8,13
265,exclusive,inclusive,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,inclusive,exclusive,4,1
267,dominant,subordinate,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,subordinate;recessive;,dominant;insubordinate;,5,7
268,first,last,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,last;second;,first,16,21
269,general,particular,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,local;specific;particular;,universal;general;,10,9
270,capable,incapable,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,incapable,capable,5,4
271,available,unavailable,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unavailable,available,3,1
272,realistic,unrealistic,n,n,n,n,n,n,n,n,y,tbd,y,adj,both,unrealistic,realistic,3,1
273,tame,wild,n,n,n,n,n,n,n,n,y,tbd,n,adj,both,wild,tame,9,17
