idx,cxn,cxntype,pairid,word1,word2,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,w1/nospace,w2/nospace,w1/caps,w2/caps,,nospace:,w1XprobY,w1XtopY,w1XtopYprob,w2XprobY,w2XtopY,w2XtopYprob,caps:,w1XprobY,w1XtopY,w1XtopYprob,w2XprobY,w2XtopY,w2XtopYprob,,nospace/full:,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,,caps/full:,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,,space/full:,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY
10,alike,j-coordinated,11,bright,dull,0.0325,dark,0.2641,dim,dull,small,gloomy,0.0194,brilliant,0.0388,dim,dull,small,gloomy,1,1,1,1,,,0.0541,dim,0.0995,0.0088,brilliant,0.0249,,0.0424,dark,0.0787,0.0036,dull,0.0213,,,0.0541,dim,0.0995,dumb,stupid,dull,dark,0.0088,brilliant,0.0249,dumb,stupid,dull,dark,,,0.0424,dark,0.0787,dim,dull,wise,small,0.0036,dull,0.0213,dim,dull,wise,small,,,0,women,0.2025,men,girls,children,boys,0.0001,women,0.1467,men,girls,children,boys
11,alike,j-coordinated,12,broad,narrow,0.6512,narrow,0.6512,deep,small,specific,shallow,0.0777,wide,0.7322,deep,small,specific,shallow,1,1,1,1,,,0.5171,narrow,0.5171,0.1056,wide,0.6884,,0.6871,narrow,0.6871,0.0761,wide,0.7287,,,0.5171,narrow,0.5171,thin,small,wide,short,0.1056,wide,0.6884,thin,small,wide,short,,,0.6871,narrow,0.6871,small,deep,shallow,thin,0.0761,wide,0.7287,small,deep,shallow,thin,,,0,women,0.1854,men,girls,children,old,0,women,0.2003,men,girls,children,old
12,alike,j-coordinated,13,clean,dirty,0.6069,dirty,0.6069,messy,filthy,dusty,dirt,0.6536,clean,0.6536,messy,filthy,dusty,dirt,1,1,0,1,,,0.0981,dirty,0.0981,0.4914,clean,0.4914,,0.0813,shine,0.2193,0.344,clean,0.344,,,0.0981,dirty,0.0981,shine,clean,look,messy,0.4914,clean,0.4914,shine,clean,look,messy,,,0.0813,shine,0.2193,dirty,look,messy,clean,0.344,clean,0.344,dirty,look,messy,clean,,,0.0001,women,0.1581,men,children,girls,old,0,women,0.1118,men,children,girls,old
13,alike,j-coordinated,14,clever,stupid,0.1322,stupid,0.1322,dumb,naive,foolish,ignorant,0.042,smart,0.0756,dumb,naive,foolish,ignorant,1,1,1,1,,,0.025,stupid,0.025,0.0108,stupid,0.1073,,0.0397,stupid,0.0397,0.0153,stupid,0.1395,,,0.025,stupid,0.025,smart,naive,stubborn,foolish,0.0108,stupid,0.1073,smart,naive,stubborn,foolish,,,0.0397,stupid,0.0397,clever,smart,foolish,cunning,0.0153,stupid,0.1395,clever,smart,foolish,cunning,,,0.0005,women,0.1048,old,children,foe,girls,0,women,0.1228,old,children,foe,girls
14,alike,j-coordinated,15,confirm,deny,0.9579,deny,0.9579,refute,doubt,denied,denial,0.1138,confirm,0.1138,refute,doubt,denied,denial,1,0,1,0,,,0.7078,deny,0.7078,0.0276,deny,0.0705,,0.7886,deny,0.7886,0.0283,deny,0.1274,,,0.7078,deny,0.7078,refute,doubt,verify,disagree,0.0276,deny,0.0705,refute,doubt,verify,disagree,,,0.7886,deny,0.7886,refute,reject,retract,verify,0.0283,deny,0.1274,refute,reject,retract,verify,,,0,women,0.0991,old,children,foe,girls,0,women,0.0818,old,children,foe,girls
15,alike,j-coordinated,16,correct,incorrect,0.68,incorrect,0.68,erroneous,wrong,FALSE,inaccurate,0.5424,correct,0.5424,erroneous,wrong,FALSE,inaccurate,0,1,1,1,,,0.1625,FALSE,0.1698,0.1683,correct,0.1683,,0.164,incorrect,0.164,0.0879,correct,0.0879,,,0.1625,FALSE,0.1698,incorrect,error,not,erroneous,0.1683,correct,0.1683,incorrect,error,not,erroneous,,,0.164,incorrect,0.164,FALSE,error,not,correct,0.0879,correct,0.0879,FALSE,error,not,correct,,,0,women,0.1235,children,men,old,girls,0.0002,women,0.0913,children,men,old,girls
16,alike,j-coordinated,17,covered,bare,0.0598,not,0.1305,uncovered,exposed,bare,naked,0.0729,clothed,0.2473,uncovered,exposed,bare,naked,1,1,1,1,,,0.0101,covered,0.0757,0.0622,clothed,0.0975,,0.0242,covered,0.0923,0.0412,dressed,0.1339,,,0.0101,covered,0.0757,not,naked,clothed,uncovered,0.0622,clothed,0.0975,not,naked,clothed,uncovered,,,0.0242,covered,0.0923,not,uncovered,unmarked,exposed,0.0412,dressed,0.1339,not,uncovered,unmarked,exposed,,,0,women,0.1068,old,foe,children,girls,0,women,0.0851,old,foe,children,girls
17,alike,j-coordinated,18,dark,bright,0.0126,light,0.9046,bright,white,day,dawn,0.2641,dark,0.2641,bright,white,day,dawn,1,0,1,1,,,0.0329,light,0.8643,0.0385,dim,0.0995,,0.0298,light,0.8539,0.0787,dark,0.0787,,,0.0329,light,0.8643,bright,day,dawn,white,0.0385,dim,0.0995,bright,day,dawn,white,,,0.0298,light,0.8539,bright,Light,white,day,0.0787,dark,0.0787,bright,Light,white,day,,,0.0001,women,0.12,old,children,girls,foe,0.0002,women,0.2025,old,children,girls,foe
18,alike,j-coordinated,19,dead,alive,0.1705,living,0.6954,alive,dying,young,live,0.957,dead,0.957,alive,dying,young,live,1,1,1,1,,,0.0721,living,0.7522,0.8068,dead,0.8068,,0.084,living,0.7118,0.7252,dead,0.7252,,,0.0721,living,0.7522,alive,dying,young,live,0.8068,dead,0.8068,alive,dying,young,live,,,0.084,living,0.7118,alive,dying,live,buried,0.7252,dead,0.7252,alive,dying,live,buried,,,0,women,0.0862,old,foe,children,girls,0.0011,women,0.1177,old,foe,children,girls
19,alike,j-coordinated,20,defend,attack,0.3132,attack,0.3132,oppose,condemn,destroy,criticize,0.0219,defense,0.8207,oppose,condemn,destroy,criticize,1,1,1,0,,,0.7116,attack,0.7116,0.1103,defense,0.3533,,0.792,attack,0.792,0.5545,defend,0.5545,,,0.7116,attack,0.7116,defend,shoot,fight,oppose,0.1103,defense,0.3533,defend,shoot,fight,oppose,,,0.792,attack,0.792,score,Attack,shoot,defend,0.5545,defend,0.5545,score,Attack,shoot,defend,,,0,women,0.1192,children,old,men,girls,0,women,0.0939,children,old,men,girls
20,alike,j-coordinated,21,directly,indirectly,0.9946,indirectly,0.9946,implicitly,externally,indirect,otherwise,0.9606,directly,0.9606,implicitly,externally,indirect,otherwise,1,1,1,1,,,0.9808,indirectly,0.9808,0.7273,directly,0.7273,,0.993,indirectly,0.993,0.7602,directly,0.7602,,,0.9808,indirectly,0.9808,indirect,implicitly,not,directly,0.7273,directly,0.7273,indirect,implicitly,not,directly,,,0.993,indirectly,0.993,indirect,implicitly,directly,not,0.7602,directly,0.7602,indirect,implicitly,directly,not,,,0,women,0.1181,old,children,men,girls,0,women,0.0785,old,children,men,girls
21,alike,j-coordinated,22,drunk,sober,0.6786,sober,0.6786,drunk,sick,stupid,not,0.5022,drunk,0.5022,drunk,sick,stupid,not,1,1,1,1,,,0.381,sober,0.381,0.2572,drunk,0.2572,,0.3486,sober,0.3486,0.167,drunk,0.167,,,0.381,sober,0.381,stupid,angry,drunk,scared,0.2572,drunk,0.2572,stupid,angry,drunk,scared,,,0.3486,sober,0.3486,stupid,scared,drunk,angry,0.167,drunk,0.167,stupid,scared,drunk,angry,,,0.0001,women,0.0802,old,foe,children,girls,0,women,0.0702,old,foe,children,girls
22,alike,j-coordinated,23,easy,difficult,0.3036,difficult,0.3036,hard,tricky,challenging,tough,0.1869,easy,0.1869,hard,tricky,challenging,tough,1,1,0,0,,,0.0715,difficult,0.0715,0.0466,easy,0.0466,,0.0718,hard,0.0786,0.0295,impossible,0.0486,,,0.0715,difficult,0.0715,hard,all,the,not,0.0466,easy,0.0466,hard,all,the,not,,,0.0718,hard,0.0786,difficult,not,all,the,0.0295,impossible,0.0486,difficult,not,all,the,,,0,women,0.1209,old,children,girls,men,0.0001,women,0.1034,old,children,girls,men
23,alike,j-coordinated,24,easy,hard,0.2994,difficult,0.3036,hard,tricky,challenging,tough,0.0053,soft,0.8989,hard,tricky,challenging,tough,1,1,0,1,,,0.0569,difficult,0.0715,0.0037,soft,0.9309,,0.0786,hard,0.0786,0.0059,soft,0.8859,,,0.0569,difficult,0.0715,hard,all,the,not,0.0037,soft,0.9309,hard,all,the,not,,,0.0786,hard,0.0786,difficult,not,all,the,0.0059,soft,0.8859,difficult,not,all,the,,,0.0001,women,0.1209,old,children,girls,men,0.0001,women,0.115,old,children,girls,men
24,alike,j-coordinated,25,encourage,discourage,0.1233,discourage,0.1233,challenge,punish,deter,inspire,0.1,encourage,0.1,challenge,punish,deter,inspire,1,1,1,1,,,0.2081,discourage,0.2081,0.2073,encourage,0.2073,,0.1848,discourage,0.1848,0.1913,encourage,0.1913,,,0.2081,discourage,0.2081,punish,challenge,deter,educate,0.2073,encourage,0.2073,punish,challenge,deter,educate,,,0.1848,discourage,0.1848,punish,discipline,deter,prevent,0.1913,encourage,0.1913,punish,discipline,deter,prevent,,,0,women,0.1106,old,children,girls,men,0,women,0.0918,old,children,girls,men
25,alike,j-coordinated,26,explicitly,implicitly,0.9548,implicitly,0.9548,indirectly,subtly,implied,silently,0.8801,explicitly,0.8801,indirectly,subtly,implied,silently,1,1,1,0,,,0.8312,implicitly,0.8312,0.5361,explicitly,0.5361,,0.8484,implicitly,0.8484,0.3384,implicitly,0.5314,,,0.8312,implicitly,0.8312,indirectly,subtly,implied,unconsciously,0.5361,explicitly,0.5361,indirectly,subtly,implied,unconsciously,,,0.8484,implicitly,0.8484,indirectly,subtly,unconsciously,implied,0.3384,implicitly,0.5314,indirectly,subtly,unconsciously,implied,,,0,women,0.0962,old,children,girls,foe,0,women,0.0988,old,children,girls,foe
26,alike,j-coordinated,27,fact,fiction,0.8892,fiction,0.8892,myth,rumor,fantasy,opinion,0.1593,fact,0.1593,myth,rumor,fantasy,opinion,1,0,1,0,,,0.9053,fiction,0.9053,0.1323,reality,0.2588,,0.9091,fiction,0.9091,0.1838,reality,0.4138,,,0.9053,fiction,0.9053,rumor,myth,fantasy,opinion,0.1323,reality,0.2588,rumor,myth,fantasy,opinion,,,0.9091,fiction,0.9091,Fiction,myth,fantasy,rumor,0.1838,reality,0.4138,Fiction,myth,fantasy,rumor,,,0.0004,women,0.0834,old,foe,children,girls,0,women,0.0766,old,foe,children,girls
27,alike,j-coordinated,28,fast,slow,0.5051,slow,0.5051,furious,strong,dumb,reliable,0.8436,fast,0.8436,furious,strong,dumb,reliable,1,1,0,1,,,0.556,slow,0.556,0.2643,fast,0.2643,,0.0302,furious,0.2483,0.1334,fast,0.1334,,,0.556,slow,0.556,furious,dumb,sluggish,stupid,0.2643,fast,0.2643,furious,dumb,sluggish,stupid,,,0.0302,furious,0.2483,slow,all,smart,dangerous,0.1334,fast,0.1334,slow,all,smart,dangerous,,,0,women,0.1774,men,children,girls,boys,0,women,0.1353,men,children,girls,boys
28,alike,j-coordinated,29,fat,thin,0.1354,thin,0.1354,skinny,slim,lean,fat,0.3598,fat,0.3598,skinny,slim,lean,fat,0,0,1,0,,,0.0185,fat,0.0351,0.0918,thick,0.1232,,0.0343,thin,0.0343,0.036,strong,0.0655,,,0.0185,fat,0.0351,muscle,thin,light,water,0.0918,thick,0.1232,muscle,thin,light,water,,,0.0343,thin,0.0343,rich,skinny,smart,dumb,0.036,strong,0.0655,rich,skinny,smart,dumb,,,0.0002,women,0.0982,old,foe,children,girls,0.0001,women,0.1285,old,foe,children,girls
29,alike,j-coordinated,30,fat,skinny,0.1295,thin,0.1354,skinny,slim,lean,fat,0.487,fat,0.487,skinny,slim,lean,fat,1,1,1,1,,,0.0088,fat,0.0351,0.3551,fat,0.3551,,0.0296,thin,0.0343,0.1825,fat,0.1825,,,0.0088,fat,0.0351,muscle,thin,light,water,0.3551,fat,0.3551,muscle,thin,light,water,,,0.0296,thin,0.0343,rich,skinny,smart,dumb,0.1825,fat,0.1825,rich,skinny,smart,dumb,,,0,women,0.0982,old,foe,children,girls,0.0001,women,0.0969,old,foe,children,girls
30,alike,j-coordinated,31,feeble,strong,0.2534,strong,0.2534,mighty,powerful,robust,brave,0.0061,weak,0.9389,mighty,powerful,robust,brave,0,1,0,1,,,0.0119,wise,0.0998,0.0082,weak,0.9184,,0.0013,foolish,0.0148,0.0086,weak,0.8897,,,0.0119,wise,0.0998,brave,mighty,foolish,noble,0.0082,weak,0.9184,brave,mighty,foolish,noble,,,0.0013,foolish,0.0148,fool,fail,stupid,flawed,0.0086,weak,0.8897,fool,fail,stupid,flawed,,,0.0002,women,0.1892,men,children,girls,old,0,women,0.114,men,children,girls,old
31,alike,j-coordinated,32,filthy,clean,0.0671,clean,0.0671,beautiful,noble,filthy,rich,0.0436,dirty,0.6069,beautiful,noble,filthy,rich,0,1,0,1,,,0.0267,beautiful,0.0515,0.014,dirty,0.0981,,0.0127,beautiful,0.0514,0.0094,shine,0.2193,,,0.0267,beautiful,0.0515,filthy,clean,delicious,healthy,0.014,dirty,0.0981,filthy,clean,delicious,healthy,,,0.0127,beautiful,0.0514,filthy,delicious,virtuous,healthy,0.0094,shine,0.2193,filthy,delicious,virtuous,healthy,,,0,women,0.085,old,foe,children,girls,0,women,0.1581,old,foe,children,girls
32,alike,j-coordinated,33,friendly,hostile,0.0865,hostile,0.0865,aggressive,foe,friendly,professional,0.8124,friendly,0.8124,aggressive,foe,friendly,professional,0,1,0,1,,,0.0059,curious,0.0538,0.7072,friendly,0.7072,,0.0551,friendly,0.0837,0.5202,friendly,0.5202,,,0.0059,curious,0.0538,friendly,skeptical,scary,respectful,0.7072,friendly,0.7072,friendly,skeptical,scary,respectful,,,0.0551,friendly,0.0837,foe,hostile,aggressive,intimidating,0.5202,friendly,0.5202,foe,hostile,aggressive,intimidating,,,0,women,0.1193,old,children,men,foe,0.0003,women,0.0843,old,children,men,foe
33,alike,j-coordinated,34,gay,straight,0.9778,straight,0.9778,heterosexual,lesbian,Christian,women,0.8964,gay,0.8964,heterosexual,lesbian,Christian,women,1,1,1,1,,,0.9361,straight,0.9361,0.8555,gay,0.8555,,0.9704,straight,0.9704,0.8874,gay,0.8874,,,0.9361,straight,0.9361,lesbian,heterosexual,woman,lesbians,0.8555,gay,0.8555,lesbian,heterosexual,woman,lesbians,,,0.9704,straight,0.9704,heterosexual,Straight,lesbian,Christian,0.8874,gay,0.8874,heterosexual,Straight,lesbian,Christian,,,0.0001,women,0.1161,old,children,girls,men,0.0001,women,0.1426,old,children,girls,men
34,alike,j-coordinated,35,general,late,0,individual,0.1198,specific,individuals,politicians,particular,0.0002,early,0.2712,specific,individuals,politicians,particular,1,1,1,1,,,0,individual,0.0254,0,early,0.1083,,0,politician,0.083,0,early,0.7708,,,0,individual,0.0254,president,politician,general,staff,0,early,0.1083,president,politician,general,staff,,,0,politician,0.083,civilian,soldier,general,officer,0,early,0.7708,civilian,soldier,general,officer,,,0,women,0.1048,old,foe,children,girls,0.0001,women,0.0672,old,foe,children,girls
35,alike,j-coordinated,37,good,evil,0.73,evil,0.73,bad,ill,wicked,terrible,0.9587,good,0.9587,bad,ill,wicked,terrible,1,1,1,1,,,0.7379,evil,0.7379,0.9387,good,0.9387,,0.6897,evil,0.6897,0.9168,good,0.9168,,,0.7379,evil,0.7379,bad,ill,wicked,devil,0.9387,good,0.9387,bad,ill,wicked,devil,,,0.6897,evil,0.6897,bad,ill,Evil,wicked,0.9168,good,0.9168,bad,ill,Evil,wicked,,,0.0006,women,0.0994,old,foe,children,girls,0.0009,women,0.1053,old,foe,children,girls
36,alike,j-coordinated,38,good,bad,0.2346,evil,0.73,bad,ill,wicked,terrible,0.7412,good,0.7412,bad,ill,wicked,terrible,1,1,1,1,,,0.2163,evil,0.7379,0.9282,good,0.9282,,0.2217,evil,0.6897,0.8427,good,0.8427,,,0.2163,evil,0.7379,bad,ill,wicked,devil,0.9282,good,0.9282,bad,ill,wicked,devil,,,0.2217,evil,0.6897,bad,ill,Evil,wicked,0.8427,good,0.8427,bad,ill,Evil,wicked,,,0.0039,women,0.0994,old,foe,children,girls,0.0008,women,0.0948,old,foe,children,girls
37,alike,j-coordinated,39,guilt,innocence,0.1246,innocence,0.1246,denial,shame,remorse,forgiveness,0.1115,guilt,0.1115,denial,shame,remorse,forgiveness,1,0,1,0,,,0.2284,innocence,0.2284,0.0606,innocence,0.1689,,0.0757,innocence,0.0757,0.0293,innocence,0.1273,,,0.2284,innocence,0.2284,shame,blame,denial,responsibility,0.0606,innocence,0.1689,shame,blame,denial,responsibility,,,0.0757,innocence,0.0757,shame,forgiveness,love,remorse,0.0293,innocence,0.1273,shame,forgiveness,love,remorse,,,0,women,0.0838,old,foe,children,girls,0,women,0.0817,old,foe,children,girls
38,alike,j-coordinated,40,happy,sad,0.6619,sad,0.6619,unhappy,depressed,miserable,angry,0.3543,happy,0.3543,unhappy,depressed,miserable,angry,1,1,1,1,,,0.5196,sad,0.5196,0.2374,happy,0.2374,,0.2777,sad,0.2777,0.3342,happy,0.3342,,,0.5196,sad,0.5196,miserable,depressed,unhappy,scared,0.2374,happy,0.2374,miserable,depressed,unhappy,scared,,,0.2777,sad,0.2777,scared,miserable,unhappy,suffering,0.3342,happy,0.3342,scared,miserable,unhappy,suffering,,,0.0002,women,0.106,old,children,foe,girls,0.0001,women,0.1062,old,children,foe,girls
39,alike,j-coordinated,41,hard,soft,0.8989,soft,0.8989,gentle,weak,easy,fair,0.8187,hard,0.8187,gentle,weak,easy,fair,1,1,1,1,,,0.9309,soft,0.9309,0.8332,hard,0.8332,,0.8859,soft,0.8859,0.634,hard,0.634,,,0.9309,soft,0.9309,weak,gentle,easy,cold,0.8332,hard,0.8332,weak,gentle,easy,cold,,,0.8859,soft,0.8859,weak,gentle,easy,cold,0.634,hard,0.634,weak,gentle,easy,cold,,,0.0001,women,0.115,old,children,girls,foe,0.0001,women,0.1162,old,children,girls,foe
40,alike,j-coordinated,42,healthy,ill,0.0791,sick,0.303,unhealthy,ill,overweight,obese,0.0143,good,0.6738,unhealthy,ill,overweight,obese,1,1,1,0,,,0.011,unhealthy,0.171,0.0584,well,0.1328,,0.0021,unhealthy,0.0979,0.2814,healthy,0.2814,,,0.011,unhealthy,0.171,sick,healthy,deadly,dangerous,0.0584,well,0.1328,sick,healthy,deadly,dangerous,,,0.0021,unhealthy,0.0979,healthy,sick,happy,dangerous,0.2814,healthy,0.2814,healthy,sick,happy,dangerous,,,0.0006,women,0.1334,old,men,children,girls,0.0001,women,0.1206,old,men,children,girls
41,alike,j-coordinated,43,healthy,unhealthy,0.2133,sick,0.303,unhealthy,ill,overweight,obese,0.5513,healthy,0.5513,unhealthy,ill,overweight,obese,0,1,0,1,,,0.171,unhealthy,0.171,0.1048,healthy,0.1048,,0.0979,unhealthy,0.0979,0.2038,healthy,0.2038,,,0.171,unhealthy,0.171,sick,healthy,deadly,dangerous,0.1048,healthy,0.1048,sick,healthy,deadly,dangerous,,,0.0979,unhealthy,0.0979,healthy,sick,happy,dangerous,0.2038,healthy,0.2038,healthy,sick,happy,dangerous,,,0,women,0.1334,old,men,children,girls,0.0001,women,0.1222,old,men,children,girls
42,alike,j-coordinated,44,heroic,cowardly,0.0597,cowardly,0.0597,tragic,mundane,criminal,ordinary,0.0332,brave,0.1655,tragic,mundane,criminal,ordinary,0,1,0,1,,,0.002,villain,0.3721,0.017,brave,0.0563,,0.0241,tragic,0.1791,0.0176,brave,0.0905,,,0.002,villain,0.3721,tragic,heroine,hero,villains,0.017,brave,0.0563,tragic,heroine,hero,villains,,,0.0241,tragic,0.1791,villain,pathetic,mundane,criminal,0.0176,brave,0.0905,villain,pathetic,mundane,criminal,,,0,women,0.0693,old,foe,children,girls,0,women,0.0839,old,foe,children,girls
