idx,cxn,cxntype,pairid,word1,word2,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w1YprobX,w1YtopX,w1YtopXprob,w1Y2ndX,w1Y3rdX,w1Y4thX,w1Y5thX,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,w2YprobX,w2YtopX,w2YtopXprob,w2Y2ndX,w2Y3rdX,w2Y4thX,w2Y5thX
23,question,j-interrogative,1,active,passive,0.2592,inactive,0.2728,passive,not,retired,dormant,0.7018,passive,0.7018,passive,not,retired,dormant,0.7814,active,0.7814,passive,not,retired,dormant,0.7734,active,0.7734,passive,not,retired,dormant
24,XbutY,contrastive,1,active,passive,0.0158,inactive,0.1385,dormant,retired,unknown,offline,0.011,quiet,0.0846,dormant,retired,unknown,offline,0.0361,powerful,0.119,dormant,retired,unknown,offline,0.0624,aggressive,0.2,dormant,retired,unknown,offline
25,XyetY,contrastive,1,active,passive,0.0,?,0.7993,:,.,</s>,?,0.0,not,0.9837,:,.,</s>,?,0.0402,powerful,0.1266,:,.,</s>,?,0.0118,not,0.6294,:,.,</s>,?
26,versus,j-residual,1,active,passive,0.0483,active,0.0788,passive,inactive,average,time,0.0914,passive,0.0914,passive,inactive,average,time,0.8783,active,0.8783,passive,inactive,average,time,0.8073,active,0.8073,passive,inactive,average,time
27,alike,j-coordinated,2,advantage,disadvantage,0.7772,disadvantage,0.7772,threat,weakness,liability,cost,0.17,disadvantage,0.17,threat,weakness,liability,cost,0.3787,advantage,0.3787,threat,weakness,liability,cost,0.8514,advantage,0.8514,threat,weakness,liability,cost
28,whether,j-coordinated,2,advantage,disadvantage,0.9345,disadvantage,0.9345,disadvantages,not,weakness,advantage,0.8088,disadvantage,0.8088,disadvantages,not,weakness,advantage,0.4573,advantage,0.4573,disadvantages,not,weakness,advantage,0.8814,advantage,0.8814,disadvantages,not,weakness,advantage
29,either,j-coordinated,2,advantage,disadvantage,0.922,disadvantage,0.922,disadvantages,advantage,loss,weakness,0.7835,disadvantage,0.7835,disadvantages,advantage,loss,weakness,0.3111,advantage,0.3111,disadvantages,advantage,loss,weakness,0.8327,advantage,0.8327,disadvantages,advantage,loss,weakness
30,neither,j-coordinated,2,advantage,disadvantage,0.7923,disadvantage,0.7923,advantage,danger,necessity,liability,0.1069,disadvantage,0.1069,advantage,danger,necessity,liability,0.8626,advantage,0.8626,advantage,danger,necessity,liability,0.9538,advantage,0.9538,advantage,danger,necessity,liability
31,both,j-coordinated,2,advantage,disadvantage,0.6965,disadvantage,0.6965,disadvantages,weakness,cost,threat,0.1709,disadvantage,0.1709,disadvantages,weakness,cost,threat,0.3562,advantage,0.3562,disadvantages,weakness,cost,threat,0.6612,advantage,0.6612,disadvantages,weakness,cost,threat
32,aswellas,j-coordinated,2,advantage,disadvantage,0.3706,disadvantage,0.3706,cost,the,disadvantages,</s>,0.0611,cost,0.062,cost,the,disadvantages,</s>,0.0993,advantage,0.0993,cost,the,disadvantages,</s>,0.4502,advantage,0.4502,cost,the,disadvantages,</s>
33,or,j-coordinated,2,advantage,disadvantage,0.7758,disadvantage,0.7758,disadvantages,advantage,.,weakness,0.0826,disadvantage,0.0826,disadvantages,advantage,.,weakness,0.0339,disadvantage,0.1224,disadvantages,advantage,.,weakness,0.3665,advantage,0.3665,disadvantages,advantage,.,weakness
34,and,j-coordinated,2,advantage,disadvantage,0.3994,disadvantage,0.3994,disadvantages,</s>,.,cost,0.0169,speed,0.042,disadvantages,</s>,.,cost,0.0145,disadvantage,0.0626,disadvantages,</s>,.,cost,0.0636,advantage,0.0636,disadvantages,</s>,.,cost
35,XnotY,j-negated,2,advantage,disadvantage,0.0,available,0.1012,known,shown,applicable,realized,0.0536,but,0.6123,known,shown,applicable,realized,0.0,applicable,0.0874,known,shown,applicable,realized,0.0182,but,0.4961,known,shown,applicable,realized
36,XcommanotY,j-negated,2,advantage,disadvantage,0.0053,applicable,0.0364,available,required,equal,comparable,0.0736,disadvantage,0.0736,available,required,equal,comparable,0.0024,applicable,0.0556,available,required,equal,comparable,0.3018,advantage,0.3018,available,required,equal,comparable
37,notXbutY,j-negated,2,advantage,disadvantage,0.4108,disadvantage,0.4108,advantage,opportunity,disadvantages,risk,0.137,disadvantage,0.137,advantage,opportunity,disadvantages,risk,0.2091,advantage,0.2091,advantage,opportunity,disadvantages,risk,0.2479,advantage,0.2479,advantage,opportunity,disadvantages,risk
38,notXcommaY,j-negated,2,advantage,disadvantage,0.0486,but,0.2766,disadvantage,advantage,and,nor,0.0128,equal,0.0183,disadvantage,advantage,and,nor,0.0073,but,0.2739,disadvantage,advantage,and,nor,0.0062,ability,0.0358,disadvantage,advantage,and,nor
39,XandnotY,j-negated,2,advantage,disadvantage,0.0174,.,0.0422,available,applicable,allowed,required,0.0624,disadvantage,0.0624,available,applicable,allowed,required,0.0031,available,0.0524,available,applicable,allowed,required,0.1559,advantage,0.1559,available,applicable,allowed,required
40,insteadof,j-negated,2,advantage,disadvantage,0.3165,disadvantage,0.3165,the,</s>,advantage,cost,0.1232,disadvantage,0.1232,the,</s>,advantage,cost,0.1427,advantage,0.1427,the,</s>,advantage,cost,0.4021,advantage,0.4021,the,</s>,advantage,cost
41,opposedto,j-negated,2,advantage,disadvantage,0.3026,disadvantage,0.3026,the,</s>,.,advantage,0.3856,disadvantage,0.3856,the,</s>,.,advantage,0.1086,the,0.1366,the,</s>,.,advantage,0.5163,advantage,0.5163,the,</s>,.,advantage
42,XbutnotY,restrictive,2,advantage,disadvantage,0.0044,necessarily,0.0555,monopoly,superiority,dominance,domination,0.0108,proximity,0.1127,monopoly,superiority,dominance,domination,0.0018,necessarily,0.0567,monopoly,superiority,dominance,domination,0.0466,disadvantage,0.2253,monopoly,superiority,dominance,domination
43,notXbutnotY,negatedX2,2,advantage,disadvantage,0.6019,disadvantage,0.6019,equal,threat,loss,advantage,0.3642,disadvantage,0.3642,equal,threat,loss,advantage,0.3929,advantage,0.3929,equal,threat,loss,advantage,0.5895,advantage,0.5895,equal,threat,loss,advantage
44,notonlyXbutY,additive,2,advantage,disadvantage,0.0073,also,0.1929,the,a,…,</s>,0.0049,success,0.0177,the,a,…,</s>,0.0044,also,0.3032,the,a,…,</s>,0.0405,disadvantage,0.0563,the,a,…,</s>
45,notXbutjustY,restrictive,2,advantage,disadvantage,0.0204,a,0.0305,different,...,disadvantage,.,0.022,superiority,0.0249,different,...,disadvantage,.,0.0036,different,0.0358,different,...,disadvantage,.,0.0076,disadvantage,0.0496,different,...,disadvantage,.
46,morethan,j-comparative,2,advantage,disadvantage,0.055,disadvantage,0.055,competition,opponent,the,average,0.228,disadvantage,0.228,competition,opponent,the,average,0.2177,advantage,0.2177,competition,opponent,the,average,0.3705,advantage,0.3705,competition,opponent,the,average
47,ratherthan,j-comparative,2,advantage,disadvantage,0.5005,disadvantage,0.5005,cost,competition,risk,threat,0.0997,disadvantage,0.0997,cost,competition,risk,threat,0.3293,advantage,0.3293,cost,competition,risk,threat,0.4344,advantage,0.4344,cost,competition,risk,threat
48,between,j-distinguished,2,advantage,disadvantage,0.8576,disadvantage,0.8576,disadvantages,penalty,weakness,loss,0.1634,disadvantage,0.1634,disadvantages,penalty,weakness,loss,0.1825,advantage,0.1825,disadvantages,penalty,weakness,loss,0.6721,advantage,0.6721,disadvantages,penalty,weakness,loss
49,fromto,j-transitional,2,advantage,disadvantage,0.9189,disadvantage,0.9189,advantage,deficit,loss,penalty,0.8276,disadvantage,0.8276,advantage,deficit,loss,penalty,0.5752,advantage,0.5752,advantage,deficit,loss,penalty,0.651,advantage,0.651,advantage,deficit,loss,penalty
50,question,j-interrogative,2,advantage,disadvantage,0.8901,disadvantage,0.8901,disadvantages,liability,not,loss,0.4151,disadvantage,0.4151,disadvantages,liability,not,loss,0.3783,advantage,0.3783,disadvantages,liability,not,loss,0.7555,advantage,0.7555,disadvantages,liability,not,loss
51,XbutY,contrastive,2,advantage,disadvantage,0.0322,not,0.04,...,...,disadvantage,</s>,0.0211,all,0.1143,...,...,disadvantage,</s>,0.0265,disadvantage,0.027,...,...,disadvantage,</s>,0.0386,all,0.0497,...,...,disadvantage,</s>
52,XyetY,contrastive,2,advantage,disadvantage,0.0,?,0.4847,.,:,</s>,!,0.0001,not,0.7584,.,:,</s>,!,0.0001,?,0.403,.,:,</s>,!,0.0005,not,0.7068,.,:,</s>,!
53,versus,j-residual,2,advantage,disadvantage,0.0105,average,0.0482,.,the,opponent,cost,0.0507,deficit,0.0896,.,the,opponent,cost,0.0164,the,0.0766,.,the,opponent,cost,0.5056,advantage,0.5056,.,the,opponent,cost
54,alike,j-coordinated,3,agree,disagree,0.9046,disagree,0.9046,not,oppose,differ,argue,0.4567,disagree,0.4567,not,oppose,differ,argue,0.6397,agree,0.6397,not,oppose,differ,argue,0.8868,agree,0.8868,not,oppose,differ,argue
55,whether,j-coordinated,3,agree,disagree,0.9454,disagree,0.9454,not,disapprove,oppose,deny,0.7215,disagree,0.7215,not,disapprove,oppose,deny,0.5358,agree,0.5358,not,disapprove,oppose,deny,0.9897,agree,0.9897,not,disapprove,oppose,deny
56,either,j-coordinated,3,agree,disagree,0.9128,disagree,0.9128,not,deny,decline,disapprove,0.8032,disagree,0.8032,not,deny,decline,disapprove,0.7988,agree,0.7988,not,deny,decline,disapprove,0.9946,agree,0.9946,not,deny,decline,disapprove
57,neither,j-coordinated,3,agree,disagree,0.812,disagree,0.812,deny,oppose,object,contest,0.5548,disagree,0.5548,deny,oppose,object,contest,0.8316,agree,0.8316,deny,oppose,object,contest,0.9846,agree,0.9846,deny,oppose,object,contest
58,both,j-coordinated,3,agree,disagree,0.6801,disagree,0.6801,deny,agree,differ,oppose,0.2972,disagree,0.2972,deny,agree,differ,oppose,0.4536,agree,0.4536,deny,agree,differ,oppose,0.9147,agree,0.9147,deny,agree,differ,oppose
59,aswellas,j-coordinated,3,agree,disagree,0.0146,:,0.2557,</s>,the,.,",",0.0808,and,0.1361,</s>,the,.,",",0.1363,agree,0.1363,</s>,the,.,",",0.8301,agree,0.8301,</s>,the,.,","
60,or,j-coordinated,3,agree,disagree,0.7473,disagree,0.7473,deny,not,oppose,reject,0.3057,disagree,0.3057,deny,not,oppose,reject,0.1383,agree,0.1383,deny,not,oppose,reject,0.9465,agree,0.9465,deny,not,oppose,reject
61,and,j-coordinated,3,agree,disagree,0.0311,</s>,0.0459,.,agree,disagree,discuss,0.0426,",",0.0698,.,agree,disagree,discuss,0.0419,.,0.0727,.,agree,disagree,discuss,0.2025,agree,0.2025,.,agree,disagree,discuss
62,XnotY,j-negated,3,agree,disagree,0.0001,to,0.8945,:,.,disclose,guilty,0.0,do,0.4872,:,.,disclose,guilty,0.0562,.,0.0715,:,.,disclose,guilty,0.0002,do,0.6282,:,.,disclose,guilty
63,XcommanotY,j-negated,3,agree,disagree,0.0538,agree,0.1851,disagree,discuss,necessarily,commit,0.3557,disagree,0.3557,disagree,discuss,necessarily,commit,0.224,agree,0.224,disagree,discuss,necessarily,commit,0.2348,agree,0.2348,disagree,discuss,necessarily,commit
64,notXbutY,j-negated,3,agree,disagree,0.368,disagree,0.368,agree,...,</s>,do,0.0151,agree,0.1194,agree,...,</s>,do,0.2261,disagree,0.3454,agree,...,</s>,do,0.2559,agree,0.2559,agree,...,</s>,do
65,notXcommaY,j-negated,3,agree,disagree,0.0523,but,0.1143,or,disagree,nor,and,0.0096,sure,0.1201,or,disagree,nor,and,0.0077,but,0.2176,or,disagree,nor,and,0.0509,sure,0.1592,or,disagree,nor,and
66,XandnotY,j-negated,3,agree,disagree,0.0277,agree,0.1303,.,discuss,disagree,commit,0.1309,disagree,0.1309,.,discuss,disagree,commit,0.3875,agree,0.3875,.,discuss,disagree,commit,0.2374,agree,0.2374,.,discuss,disagree,commit
67,insteadof,j-negated,3,agree,disagree,0.1099,disagree,0.1099,deny,asking,.,</s>,0.1271,agree,0.1619,deny,asking,.,</s>,0.4935,agree,0.4935,deny,asking,.,</s>,0.6398,agree,0.6398,deny,asking,.,</s>
68,opposedto,j-negated,3,agree,disagree,0.0863,.,0.0978,</s>,disagree,the,",",0.0844,agree,0.107,</s>,disagree,the,",",0.1573,disagree,0.1863,</s>,disagree,the,",",0.6077,agree,0.6077,</s>,disagree,the,","
69,XbutnotY,restrictive,3,agree,disagree,0.0506,agree,0.1543,necessarily,commit,disagree,discuss,0.0125,agree,0.1749,necessarily,commit,disagree,discuss,0.2048,disagree,0.3228,necessarily,commit,disagree,discuss,0.0612,differ,0.3444,necessarily,commit,disagree,discuss
70,notXbutnotY,negatedX2,3,agree,disagree,0.5753,disagree,0.5753,agree,opposed,oppose,deny,0.5389,disagree,0.5389,agree,opposed,oppose,deny,0.8375,agree,0.8375,agree,opposed,oppose,deny,0.9725,agree,0.9725,agree,opposed,oppose,deny
71,notonlyXbutY,additive,3,agree,disagree,0.01,also,0.2686,they,:,are,agree,0.0636,understand,0.1741,they,:,are,agree,0.0044,also,0.2901,they,:,are,agree,0.2173,agree,0.2173,they,:,are,agree
72,notXbutjustY,restrictive,3,agree,disagree,0.0325,...,0.0722,curious,disagree,…,think,0.1033,agree,0.2132,curious,disagree,…,think,0.0764,disagree,0.1117,curious,disagree,…,think,0.1719,agree,0.1719,curious,disagree,…,think
73,morethan,j-comparative,3,agree,disagree,0.797,disagree,0.797,not,oppose,agree,disapprove,0.4536,disagree,0.4536,not,oppose,agree,disapprove,0.7959,agree,0.7959,not,oppose,agree,disapprove,0.9561,agree,0.9561,not,oppose,agree,disapprove
74,ratherthan,j-comparative,3,agree,disagree,0.3285,disagree,0.3285,agree,discuss,deny,contest,0.3805,disagree,0.3805,agree,discuss,deny,contest,0.6751,agree,0.6751,agree,discuss,deny,contest,0.6871,agree,0.6871,agree,discuss,deny,contest
75,between,j-distinguished,3,agree,disagree,0.479,disagree,0.479,deny,agree,reject,oppose,0.0619,disagree,0.0619,deny,agree,reject,oppose,0.365,agree,0.365,deny,agree,reject,oppose,0.9538,agree,0.9538,deny,agree,reject,oppose
76,fromto,j-transitional,3,agree,disagree,0.0118,agree,0.0954,deny,commit,remove,</s>,0.0708,agree,0.4399,deny,commit,remove,</s>,0.9598,agree,0.9598,deny,commit,remove,</s>,0.7599,agree,0.7599,deny,commit,remove,</s>
77,question,j-interrogative,3,agree,disagree,0.8964,disagree,0.8964,not,no,differ,deny,0.7087,disagree,0.7087,not,no,differ,deny,0.5322,agree,0.5322,not,no,differ,deny,0.9595,agree,0.9595,not,no,differ,deny
78,XbutY,contrastive,3,agree,disagree,0.3703,disagree,0.3703,...,not,:,differ,0.4007,disagree,0.4007,...,not,:,differ,0.3876,agree,0.3876,...,not,:,differ,0.1649,agree,0.1649,...,not,:,differ
79,XyetY,contrastive,3,agree,disagree,0.0012,?,0.5416,.,:,"?""",</s>,0.0004,not,0.7359,.,:,"?""",</s>,0.0004,.,0.3139,.,:,"?""",</s>,0.0094,and,0.3856,.,:,"?""",</s>
80,versus,j-residual,3,agree,disagree,0.8263,disagree,0.8263,deny,oppose,no,agree,0.5105,disagree,0.5105,deny,oppose,no,agree,0.5582,agree,0.5582,deny,oppose,no,agree,0.9344,agree,0.9344,deny,oppose,no,agree
81,alike,j-coordinated,4,beautiful,ugly,0.141,ugly,0.141,beautiful,terrifying,hideous,tragic,0.2196,ugly,0.2196,beautiful,terrifying,hideous,tragic,0.2833,beautiful,0.2833,beautiful,terrifying,hideous,tragic,0.5541,beautiful,0.5541,beautiful,terrifying,hideous,tragic
82,whether,j-coordinated,4,beautiful,ugly,0.1663,not,0.5069,ugly,beautiful,otherwise,hideous,0.2159,ugly,0.2159,ugly,beautiful,otherwise,hideous,0.0686,not,0.3669,ugly,beautiful,otherwise,hideous,0.2748,pretty,0.3148,ugly,beautiful,otherwise,hideous
83,either,j-coordinated,4,beautiful,ugly,0.4262,ugly,0.4262,hideous,not,disgusting,beautiful,0.1689,ugly,0.1689,hideous,not,disgusting,beautiful,0.0239,ugly,0.0731,hideous,not,disgusting,beautiful,0.2464,beautiful,0.2464,hideous,not,disgusting,beautiful
84,neither,j-coordinated,4,beautiful,ugly,0.034,beautiful,0.0461,ugly,handsome,useful,dangerous,0.0105,elegant,0.028,ugly,handsome,useful,dangerous,0.1357,beautiful,0.1357,ugly,handsome,useful,dangerous,0.2144,beautiful,0.2144,ugly,handsome,useful,dangerous
85,both,j-coordinated,4,beautiful,ugly,0.0184,dangerous,0.0425,beautiful,terrifying,powerful,ugly,0.0138,powerful,0.0261,beautiful,terrifying,powerful,ugly,0.0563,beautiful,0.0563,beautiful,terrifying,powerful,ugly,0.3689,beautiful,0.3689,beautiful,terrifying,powerful,ugly
86,aswellas,j-coordinated,4,beautiful,ugly,0.0002,powerful,0.0367,elegant,intelligent,sexy,beautiful,0.0004,intelligent,0.0602,elegant,intelligent,sexy,beautiful,0.0559,beautiful,0.0559,elegant,intelligent,sexy,beautiful,0.0323,sexy,0.0432,elegant,intelligent,sexy,beautiful
87,or,j-coordinated,4,beautiful,ugly,0.0125,otherwise,0.0513,not,unusual,unique,interesting,0.0005,elegant,0.0417,not,unusual,unique,interesting,0.0035,otherwise,0.139,not,unusual,unique,interesting,0.1396,pretty,0.1697,not,unusual,unique,interesting
88,and,j-coordinated,4,beautiful,ugly,0.0002,powerful,0.0506,inspiring,unique,intelligent,mysterious,0.0001,powerful,0.0432,inspiring,unique,intelligent,mysterious,0.0064,dangerous,0.0149,inspiring,unique,intelligent,mysterious,0.0175,good,0.0264,inspiring,unique,intelligent,mysterious
89,XnotY,j-negated,4,beautiful,ugly,0.0368,beautiful,0.0717,perfect,ugly,dead,pretty,0.0,but,0.4533,perfect,ugly,dead,pretty,0.0248,pretty,0.0662,perfect,ugly,dead,pretty,0.0,but,0.549,perfect,ugly,dead,pretty
90,XcommanotY,j-negated,4,beautiful,ugly,0.021,beautiful,0.0678,perfect,pretty,ugly,so,0.0177,but,0.034,perfect,pretty,ugly,so,0.0176,pretty,0.0537,perfect,pretty,ugly,so,0.0462,beautiful,0.0462,perfect,pretty,ugly,so
91,notXbutY,j-negated,4,beautiful,ugly,0.0086,interesting,0.0369,useful,beautiful,good,unique,0.04,perfect,0.1132,useful,beautiful,good,unique,0.0021,not,0.0679,useful,beautiful,good,unique,0.0182,ugly,0.0915,useful,beautiful,good,unique
92,notXcommaY,j-negated,4,beautiful,ugly,0.0035,but,0.1157,not,nor,</s>,or,0.0831,ugly,0.0831,not,nor,</s>,or,0.0054,but,0.2257,not,nor,</s>,or,0.0205,pretty,0.1242,not,nor,</s>,or
93,XandnotY,j-negated,4,beautiful,ugly,0.0528,ugly,0.0528,so,dead,.,perfect,0.0725,ugly,0.0725,so,dead,.,perfect,0.0126,attractive,0.0668,so,dead,.,perfect,0.0238,clean,0.0688,so,dead,.,perfect
94,insteadof,j-negated,4,beautiful,ugly,0.1141,ugly,0.1141,beautiful,stupid,perfect,boring,0.0663,beautiful,0.0934,beautiful,stupid,perfect,boring,0.3703,beautiful,0.3703,beautiful,stupid,perfect,boring,0.2025,beautiful,0.2025,beautiful,stupid,perfect,boring
95,opposedto,j-negated,4,beautiful,ugly,0.0905,ugly,0.0905,beautiful,</s>,...,the,0.0048,beautiful,0.1458,beautiful,</s>,...,the,0.1975,beautiful,0.1975,beautiful,</s>,...,the,0.0898,beautiful,0.0898,beautiful,</s>,...,the
96,XbutnotY,restrictive,4,beautiful,ugly,0.0007,perfect,0.1109,unique,sexy,elegant,beautiful,0.0002,elegant,0.0568,unique,sexy,elegant,beautiful,0.0009,bad,0.0642,unique,sexy,elegant,beautiful,0.0004,small,0.1086,unique,sexy,elegant,beautiful
97,notXbutnotY,negatedX2,4,beautiful,ugly,0.3671,ugly,0.3671,bad,hideous,scary,perfect,0.4818,ugly,0.4818,bad,hideous,scary,perfect,0.0901,pretty,0.1389,bad,hideous,scary,perfect,0.0605,pretty,0.3115,bad,hideous,scary,perfect
98,notonlyXbutY,additive,4,beautiful,ugly,0.0,also,0.0558,inspiring,useful,powerful,unique,0.0001,useful,0.0462,inspiring,useful,powerful,unique,0.0004,dangerous,0.1551,inspiring,useful,powerful,unique,0.0003,dangerous,0.0435,inspiring,useful,powerful,unique
99,notXbutjustY,restrictive,4,beautiful,ugly,0.0266,plain,0.1306,beautiful,average,ordinary,ugly,0.0142,perfect,0.1302,beautiful,average,ordinary,ugly,0.0032,plain,0.1749,beautiful,average,ordinary,ugly,0.0097,bad,0.1046,beautiful,average,ordinary,ugly
100,morethan,j-comparative,4,beautiful,ugly,0.0004,ever,0.1246,life,most,anything,any,0.0757,ugly,0.0757,life,most,anything,any,0.0131,ever,0.0411,life,most,anything,any,0.2629,beautiful,0.2629,life,most,anything,any
101,ratherthan,j-comparative,4,beautiful,ugly,0.1419,ugly,0.1419,beautiful,dangerous,perfect,boring,0.0485,ugly,0.0485,beautiful,dangerous,perfect,boring,0.3692,beautiful,0.3692,beautiful,dangerous,perfect,boring,0.1203,beautiful,0.1203,beautiful,dangerous,perfect,boring
102,between,j-distinguished,4,beautiful,ugly,0.2968,ugly,0.2968,beautiful,ordinary,hideous,pretty,0.3697,ugly,0.3697,beautiful,ordinary,hideous,pretty,0.2437,beautiful,0.2437,beautiful,ordinary,hideous,pretty,0.2553,beautiful,0.2553,beautiful,ordinary,hideous,pretty
103,fromto,j-transitional,4,beautiful,ugly,0.1584,ugly,0.1584,disgusting,terrifying,tragic,scary,0.5505,ugly,0.5505,disgusting,terrifying,tragic,scary,0.2041,beautiful,0.2041,disgusting,terrifying,tragic,scary,0.0755,ugly,0.0998,disgusting,terrifying,tragic,scary
104,question,j-interrogative,4,beautiful,ugly,0.2779,ugly,0.2779,not,beautiful,hideous,dangerous,0.2109,ugly,0.2109,not,beautiful,hideous,dangerous,0.0842,beautiful,0.0842,not,beautiful,hideous,dangerous,0.1896,beautiful,0.1896,not,beautiful,hideous,dangerous
