pairid,A-word,B-word,Jones2002,Jones2012,Paradis2009Elicit,Paradis2009Judge,deWeijer2012,LowFreq,Canonical,CorePair,WordNet,Ant-Type,Morpological,POS
40,happy,sad,y,n,n,n,y,n,n,y,n,scalar-unbounded,n,adj
41,hard,soft,y,n,y,n,y,n,n,y,y,scalar-unbounded,n,adj
42,healthy,ill,n,n,n,n,y,y,n,y,n,scalar-unbounded,n,adj
43,healthy,unhealthy,n,n,y,n,n,n,n,y,y,scalar-unbounded,y,adj
44,heroic,cowardly,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj
45,high,low,y,n,n,n,y,n,n,y,y,scalar-unbounded,n,adj
46,honest,dishonest,y,n,n,n,n,n,n,y,y,scalar-bounded,y,adj
47,hot,cold,y,n,y,n,y,n,n,y,y,scalar-unbounded,n,adj
48,large,small,y,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj
49,lean,fat,n,y,y,y,n,n,n,y,n,scalar-unbounded,n,adj
50,legal,illegal,y,n,n,n,n,n,n,y,y,complementary,n,adj
51,light,dark,n,n ,y,y,y,n,y,y,y,scalar-unbounded,n,adj
52,light,heavy,y,n,y,n,n,n,n,y,y,scalar-unbounded,n,adj
53,little,big,n,y,y,n,n,n,n,y,y,scalar-unbounded,n,adj
54,long,short,y,n,n,n,y,n,n,y,y,scalar-unbounded,n,adj
55,love,hate,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,verb
56,lucky,unlucky,n,n,n,n,n,n,n,n,y,scalar-unbounded,y,adj
57,major,minor,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adj
58,male,female,y,n,n,n,y,n,n,y,y,complementary,n,adj
59,married,unmarried,y,n,n,n,n,n,n,y,y,complementary,y,adj
60,masculine,feminine,y,n,n,n,n,n,n,y,y,complementary,n,adj
61,narrow,wide,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj
62,national,medical,n,n,n,n,y,n,u,y,n,none,n,adj
63,natural,artificial,y,n,n,n,n,n,n,y,y,scalar-bounded,n,adj
64,necessary,proper,n,n,n,n,y,n,u,y,n,none,n,adj
66,old,new,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adj
67,open,closed,n,y,y,n,y,n,n,y,y,scalar-bounded,n,adj
70,optimistic,pessimistic,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adj
71,popular,early,n,n,n,n,y,n,u,y,n,none,n,adj
72,possible,impossible,n,n,n,n,n,n,n,n,y,scalar-bounded,y,adj
74,public,private,y,n,n,n,n,n,n,y,y,complementary,n,adj
75,publicly,privately,y,n,n,n,n,n,n,y,y,complementary,n,adv
76,quickly,slowly,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adv
77,rapid,slow,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj
78,rare,common,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj
79,relevant,appropriate,n,n,n,n,y,n,u,y,n,none,n,adj
80,reward,punishment,y,n,n,n,n,n,n,y,n,converse,n,noun
81,rich,poor,y,y,y,n,y,n,n,y,y,scalar-unbounded,n,adj
82,right,wrong,y,n,n,n,y,n,n,y,y,complementary,n,adj
83,rightly,wrongly,y,n,n,n,n,n,n,y,n,complementary,n,adv
84,rough,smooth,n,n,y,n,y,y,n,y,y,scalar-unbounded,n,adj
85,rural,urban,y,n,n,n,n,n,n,y,y,complementary,n,adj
86,sad,glad,n,n,y,n,n,n,n,y,y,scalar-unbounded,n,adj
87,serious,financial,n,n,n,n,y,n,u,y,n,none,n,adj
88,simple,effective,n,n,n,n,y,n,u,y,n,none,n,adj
89,slim,fat,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj
90,strange,normal,n,n,n,n,y,y,n,y,n,scalar-unbounded,n,adj
91,strength,weakness,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,noun
92,strong,weak,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj
93,style,substance,y,n,n,n,n,n,n,y,n,converse,n,noun
94,succeed,fail,y,n,n,n,n,n,n,y,y,scalar-bounded,n,verb
95,success,failure,y,n,n,n,n,n,n,y,y,scalar-bounded,n,noun
96,sudden,gradual,n,n,n,n,y,y,n,y,y,scalar-unbounded,n,adj
97,sufficient,other,n,n,n,n,y,n,u,y,n,none,n,adj
98,temporary,permanent,y,n,n,n,y,n,n,y,n,complementary,n,adj
99,thick,thin,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj
100,tiny,enormous,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj
101,tiny,huge,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj
102,total,current,n,n,n,n,y,n,u,y,n,none,n,adj
103,vague,clear,n,n,n,n,y,y,n,y,n,scalar-unbounded,n,adj
104,war,peace,y,n,n,n,n,n,n,y,y,complementary,n,noun
105,wealthy,poor,n,y,n,n,n,n,n,y,n,scalar-unbounded,n,adj
106,well,badly,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adv
107,well,sick,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj
108,wet,dry,y,n,n,n,y,n,n,y,y,scalar-bounded,n,adj
109,whole,fresh,n,n,n,n,y,n,u,y,n,none,n,adj
110,win,lose,y,n,n,n,n,n,n,y,y,complementary,n,verb
111,young,old,y,n,y,n,y,n,n,y,y,scalar-unbounded,n,adj
112,TRUE,FALSE,y,n,n,n,y,n,n,y,n,complementary,n,adj
113,busy,idle,n,n,n,n,n,n,n,n,y,tbd,n,adj
114,unwelcome,welcome,n,n,n,n,n,n,n,n,y,tbd,y,adj
115,lawful,unlawful,n,n,n,n,n,n,n,n,y,tbd,y,adj
116,irreversible,reversible,n,n,n,n,n,n,n,n,y,tbd,y,adj
117,noisy,quiet,n,n,n,n,n,n,n,n,y,scalar-bounded,n,adj
119,integrated,segregated,n,n,n,n,n,n,n,n,y,tbd,n,adj
121,intangible,tangible,n,n,n,n,n,n,n,n,y,tbd,y,adj
122,curved,straight,n,n,n,n,n,n,n,n,y,tbd,n,adj
123,experienced,inexperienced,n,n,n,n,n,n,n,n,y,tbd,y,adj
124,normal,paranormal,n,n,n,n,n,n,n,n,y,tbd,n,adj
125,backward,forward,n,n,n,n,n,n,n,n,y,tbd,n,adj
126,foreign,native,n,n,n,n,n,n,n,n,y,tbd,n,adj
127,successful,unsuccessful,n,n,n,n,n,n,n,n,y,tbd,y,adj
128,ethical,unethical,n,n,n,n,n,n,n,n,y,tbd,y,adj
129,first,second,n,n,n,n,n,n,n,n,y,tbd,n,adj
130,central,peripheral,n,n,n,n,n,n,n,n,y,tbd,n,adj
131,anti,pro,n,n,n,n,n,n,n,n,y,tbd,n,adj
132,dangerous,safe,n,n,n,n,n,n,n,n,y,tbd,n,adj
133,bottom,top,n,n,n,n,n,n,n,n,y,tbd,n,adj
134,junior,senior,n,n,n,n,n,n,n,n,y,tbd,n,adj
135,regulated,unregulated,n,n,n,n,n,n,n,n,y,tbd,y,adj
136,accurate,inaccurate,n,n,n,n,n,n,n,n,y,tbd,y,adj
137,loud,soft,n,n,n,n,n,n,n,n,y,tbd,n,adj
138,lax,tense,n,n,n,n,n,n,n,n,y,tbd,n,adj
139,functional,organic,n,n,n,n,n,n,n,n,y,tbd,n,adj
140,joint,separate,n,n,n,n,n,n,n,n,y,tbd,n,adj
142,bound,free,n,n,n,n,n,n,n,n,y,tbd,n,adj
143,future,past,n,n,n,n,n,n,n,n,y,tbd,n,adj
144,inside,outside,n,n,n,n,n,n,n,n,y,tbd,n,adj
145,unwilling,willing,n,n,n,n,n,n,n,n,y,tbd,y,adj
146,limited,unlimited,n,n,n,n,n,n,n,n,y,tbd,y,adj
147,clear,unclear,n,n,n,n,n,n,n,n,y,tbd,y,adj
148,cool,warm,n,n,n,n,n,n,n,n,y,tbd,n,adj
149,smart,stupid,n,n,n,n,n,n,n,n,y,tbd,n,adj
150,compatible,incompatible,n,n,n,n,n,n,n,n,y,tbd,y,adj
151,favorable,unfavorable,n,n,n,n,n,n,n,n,y,tbd,y,adj
152,immature,mature,n,n,n,n,n,n,n,n,y,tbd,y,adj
153,bold,timid,n,n,n,n,n,n,n,n,y,tbd,n,adj
154,paid,unpaid,n,n,n,n,n,n,n,n,y,tbd,y,adj
155,local,national,n,n,n,n,n,n,n,n,y,tbd,n,adj
156,appropriate,inappropriate,n,n,n,n,n,n,n,n,y,tbd,y,adj
157,valuable,worthless,n,n,n,n,n,n,n,n,y,tbd,n,adj
158,immoral,moral,n,n,n,n,n,n,n,n,y,tbd,y,adj
159,alternate,opposite,n,n,n,n,n,n,n,n,y,tbd,n,adj
160,domestic,foreign,n,n,n,n,n,n,n,n,y,tbd,n,adj
161,adoptive,biological,n,n,n,n,n,n,n,n,y,tbd,n,adj
162,conservative,liberal,n,n,n,n,n,n,n,n,y,tbd,n,adj
163,natural,supernatural,n,n,n,n,n,n,n,n,y,tbd,n,adj
164,prepared,unprepared,n,n,n,n,n,n,n,n,y,tbd,y,adj
165,extensive,intensive,n,n,n,n,n,n,n,n,y,tbd,n,adj
166,reasonable,unreasonable,n,n,n,n,n,n,n,n,y,tbd,y,adj
168,even,odd,n,n,n,n,n,n,n,n,y,tbd,n,adj
169,fancy,plain,n,n,n,n,n,n,n,n,y,tbd,n,adj
170,insufficient,sufficient,n,n,n,n,n,n,n,n,y,tbd,y,adj
171,brave,cowardly,n,n,n,n,n,n,n,n,y,tbd,n,adj
172,official,unofficial,n,n,n,n,n,n,n,n,y,tbd,y,adj
173,minus,plus,n,n,n,n,n,n,n,n,y,tbd,n,adj
174,affected,unaffected,n,n,n,n,n,n,n,n,y,tbd,y,adj
175,amateur,professional,n,n,n,n,n,n,n,n,y,tbd,n,adj
176,multiple,single,n,n,n,n,n,n,n,n,y,tbd,n,adj
177,powerful,powerless,n,n,n,n,n,n,n,n,y,tbd,y,adj
178,close,distant,n,n,n,n,n,n,n,n,y,tbd,n,adj
179,virtuous,wicked,n,n,n,n,n,n,n,n,y,tbd,n,adj
180,comfortable,uncomfortable,n,n,n,n,n,n,n,n,y,tbd,y,adj
181,general,specific,n,n,n,n,n,n,n,n,y,tbd,n,adj
182,northern,southern,n,n,n,n,n,n,n,n,y,tbd,n,adj
183,fresh,stale,n,n,n,n,n,n,n,n,y,tbd,n,adj
184,other,same,n,n,n,n,n,n,n,n,y,tbd,n,adj
185,intense,mild,n,n,n,n,n,n,n,n,y,tbd,n,adj
186,nominal,real,n,n,n,n,n,n,n,n,y,tbd,n,adj
187,cheap,expensive,n,n,n,n,n,n,n,n,y,tbd,n,adj
188,active,quiet,n,n,n,n,n,n,n,n,y,tbd,n,adj
189,insecure,secure,n,n,n,n,n,n,n,n,y,tbd,n,adj
190,eligible,ineligible,n,n,n,n,n,n,n,n,y,tbd,y,adj
191,automatic,manual,n,n,n,n,n,n,n,n,y,tbd,n,adj
192,constructive,destructive,n,n,n,n,n,n,n,n,y,tbd,n,adj
193,express,local,n,n,n,n,n,n,n,n,y,tbd,n,adj
194,finite,infinite,n,n,n,n,n,n,n,n,y,tbd,n,adj
196,loose,tight,n,n,n,n,n,n,n,n,y,tbd,n,adj
197,acceptable,unacceptable,n,n,n,n,n,n,n,n,y,tbd,y,adj
198,authorized,unauthorized,n,n,n,n,n,n,n,n,y,tbd,y,adj
199,con,pro,n,n,n,n,n,n,n,n,y,tbd,n,adj
200,desirable,undesirable,n,n,n,n,n,n,n,n,y,tbd,y,adj
201,credible,incredible,n,n,n,n,n,n,n,n,y,tbd,y,adj
202,adequate,inadequate,n,n,n,n,n,n,n,n,y,tbd,y,adj
203,brave,timid,n,n,n,n,n,n,n,n,y,tbd,n,adj
204,fresh,salty,n,n,n,n,n,n,n,n,y,tbd,n,adj
205,full,thin,n,n,n,n,n,n,n,n,y,tbd,n,adj
206,guilty,innocent,n,n,n,n,n,n,n,n,y,tbd,n,adj
207,east,west,n,n,n,n,n,n,n,n,y,tbd,n,adj
208,competent,incompetent,n,n,n,n,n,n,n,n,y,tbd,y,adj
209,manned,unmanned,n,n,n,n,n,n,n,n,y,tbd,y,adj
210,improper,proper,n,n,n,n,n,n,n,n,y,tbd,y,adj
211,humble,proud,n,n,n,n,n,n,n,n,y,tbd,n,adj
213,immortal,mortal,n,n,n,n,n,n,n,n,y,tbd,y,adj
214,downstream,upstream,n,n,n,n,n,n,n,n,y,tbd,n,adj
215,round,square,n,n,n,n,n,n,n,n,y,tbd,n,adj
217,popular,unpopular,n,n,n,n,n,n,n,n,y,tbd,y,adj
218,insane,sane,n,n,n,n,n,n,n,n,y,tbd,n,adj
219,absent,present,n,n,n,n,n,n,n,n,y,tbd,n,adj
220,different,same,n,n,n,n,n,n,n,n,y,tbd,n,adj
221,common,individual,n,n,n,n,n,n,n,n,y,tbd,n,adj
222,invalid,valid,n,n,n,n,n,n,n,n,y,tbd,y,adj
223,clear,opaque,n,n,n,n,n,n,n,n,y,tbd,n,adj
224,active,dormant,n,n,n,n,n,n,n,n,y,tbd,n,adj
225,applied,theoretical,n,n,n,n,n,n,n,n,y,tbd,n,adj
226,out,safe,n,n,n,n,n,n,n,n,y,tbd,n,adj
227,profound,superficial,n,n,n,n,n,n,n,n,y,tbd,n,adj
228,hollow,solid,n,n,n,n,n,n,n,n,y,tbd,n,adj
229,half,whole,n,n,n,n,n,n,n,n,y,tbd,n,adj
230,employed,unemployed,n,n,n,n,n,n,n,n,y,tbd,y,adj
232,due,undue,n,n,n,n,n,n,n,n,y,tbd,y,adj
233,attached,detached,n,n,n,n,n,n,n,n,y,tbd,n,adj
234,unusual,usual,n,n,n,n,n,n,n,n,y,tbd,y,adj
235,harmful,harmless,n,n,n,n,n,n,n,n,y,tbd,y,adj
236,new,worn,n,n,n,n,n,n,n,n,y,tbd,n,adj
237,specified,unspecified,n,n,n,n,n,n,n,n,y,tbd,y,adj
238,extant,extinct,n,n,n,n,n,n,n,n,y,tbd,n,adj
239,direct,indirect,n,n,n,n,n,n,n,n,y,tbd,y,adj
240,insensitive,sensitive,n,n,n,n,n,n,n,n,y,tbd,y,adj
241,related,unrelated,n,n,n,n,n,n,n,n,y,tbd,y,adj
242,instrumental,vocal,n,n,n,n,n,n,n,n,y,tbd,n,adj
244,tender,tough,n,n,n,n,n,n,n,n,y,tbd,n,adj
245,equal,unequal,n,n,n,n,n,n,n,n,y,tbd,y,adj
246,dull,sharp,n,n,n,n,n,n,n,n,y,tbd,n,adj
247,decent,indecent,n,n,n,n,n,n,n,n,y,tbd,y,adj
248,natural,unnatural,n,n,n,n,n,n,n,n,y,tbd,y,adj
249,back,front,n,n,n,n,n,n,n,n,y,tbd,n,adj
250,focused,unfocused,n,n,n,n,n,n,n,n,y,tbd,y,adj
251,constitutional,unconstitutional,n,n,n,n,n,n,n,n,y,tbd,y,adj
252,asleep,awake,n,n,n,n,n,n,n,n,y,tbd,n,adj
253,anal,oral,n,n,n,n,n,n,n,n,y,tbd,n,adj
254,improbable,probable,n,n,n,n,n,n,n,n,y,tbd,y,adj
255,certain,uncertain,n,n,n,n,n,n,n,n,y,tbd,y,adj
257,primary,secondary,n,n,n,n,n,n,n,n,y,tbd,n,adj
258,formal,informal,n,n,n,n,n,n,n,n,y,tbd,y,adj
259,finished,unfinished,n,n,n,n,n,n,n,n,y,tbd,y,adj
260,abnormal,normal,n,n,n,n,n,n,n,n,y,tbd,y,adj
261,live,recorded,n,n,n,n,n,n,n,n,y,tbd,n,adj
262,dry,sweet,n,n,n,n,n,n,n,n,y,tbd,n,adj
264,inferior,superior,n,n,n,n,n,n,n,n,y,tbd,n,adj
265,exclusive,inclusive,n,n,n,n,n,n,n,n,y,tbd,n,adj
267,dominant,subordinate,n,n,n,n,n,n,n,n,y,tbd,n,adj
268,first,last,n,n,n,n,n,n,n,n,y,tbd,n,adj
269,general,particular,n,n,n,n,n,n,n,n,y,tbd,n,adj
270,capable,incapable,n,n,n,n,n,n,n,n,y,tbd,y,adj
271,available,unavailable,n,n,n,n,n,n,n,n,y,tbd,y,adj
272,realistic,unrealistic,n,n,n,n,n,n,n,n,y,tbd,y,adj
273,tame,wild,n,n,n,n,n,n,n,n,y,tbd,n,adj
274,gradual,steep,n,n,n,n,n,n,n,n,y,tbd,n,adj
275,sure,unsure,n,n,n,n,n,n,n,n,y,tbd,y,adj
276,naive,sophisticated,n,n,n,n,n,n,n,n,y,tbd,n,adj
277,defensive,offensive,n,n,n,n,n,n,n,n,y,tbd,n,adj
278,dead,living,n,n,n,n,n,n,n,n,y,tbd,n,adj
279,armed,unarmed,n,n,n,n,n,n,n,n,y,tbd,y,adj
280,crooked,straight,n,n,n,n,n,n,n,n,y,tbd,n,adj
281,incoming,outgoing,n,n,n,n,n,n,n,n,y,tbd,n,adj
282,extraordinary,ordinary,n,n,n,n,n,n,n,n,y,tbd,n,adj
283,insignificant,significant,n,n,n,n,n,n,n,n,y,tbd,y,adj
284,disorderly,orderly,n,n,n,n,n,n,n,n,y,tbd,y,adj
285,marked,unmarked,n,n,n,n,n,n,n,n,y,tbd,y,adj
286,double,single,n,n,n,n,n,n,n,n,y,tbd,n,adj
287,illegitimate,legitimate,n,n,n,n,n,n,n,n,y,tbd,y,adj
288,meaningful,meaningless,n,n,n,n,n,n,n,n,y,tbd,y,adj
289,stable,unstable,n,n,n,n,n,n,n,n,y,tbd,y,adj
290,real,unreal,n,n,n,n,n,n,n,n,y,tbd,y,adj
291,irresponsible,responsible,n,n,n,n,n,n,n,n,y,tbd,y,adj
292,qualitative,quantitative,n,n,n,n,n,n,n,n,y,tbd,n,adj
293,loaded,unloaded,n,n,n,n,n,n,n,n,y,tbd,y,adj
294,fair,foul,n,n,n,n,n,n,n,n,y,tbd,n,adj
295,effective,ineffective,n,n,n,n,n,n,n,n,y,tbd,y,adj
296,mental,physical,n,n,n,n,n,n,n,n,y,tbd,n,adj
298,conscious,unconscious,n,n,n,n,n,n,n,n,y,tbd,y,adj
299,convenient,inconvenient,n,n,n,n,n,n,n,n,y,tbd,y,adj
300,external,internal,n,n,n,n,n,n,n,n,y,tbd,n,adj
301,happy,unhappy,n,n,n,n,n,n,n,n,y,tbd,y,adj
302,covert,overt,n,n,n,n,n,n,n,n,y,tbd,n,adj
303,counterfeit,genuine,n,n,n,n,n,n,n,n,y,tbd,n,adj
304,accessible,inaccessible,n,n,n,n,n,n,n,n,y,tbd,y,adj
305,empirical,theoretical,n,n,n,n,n,n,n,n,y,tbd,n,adj
306,predictable,unpredictable,n,n,n,n,n,n,n,n,y,tbd,y,adj
307,abundant,scarce,n,n,n,n,n,n,n,n,y,tbd,n,adj
308,affirmative,negative,n,n,n,n,n,n,n,n,y,tbd,n,adj
309,sour,sweet,n,n,n,n,n,n,n,n,y,tbd,n,adj
310,conventional,unconventional,n,n,n,n,n,n,n,n,y,tbd,y,adj
311,restricted,unrestricted,n,n,n,n,n,n,n,n,y,tbd,y,adj
312,pleasant,unpleasant,n,n,n,n,n,n,n,n,y,tbd,y,adj
313,lean,rich,n,n,n,n,n,n,n,n,y,tbd,n,adj
314,plural,singular,n,n,n,n,n,n,n,n,y,tbd,n,adj
315,negative,positive,n,n,n,n,n,n,n,n,y,tbd,n,adj
316,useful,useless,n,n,n,n,n,n,n,n,y,tbd,y,adj
317,familiar,strange,n,n,n,n,n,n,n,n,y,tbd,n,adj
318,coastal,inland,n,n,n,n,n,n,n,n,y,tbd,n,adj
319,maximum,minimum,n,n,n,n,n,n,n,n,y,tbd,n,adj
320,necessary,unnecessary,n,n,n,n,n,n,n,n,y,tbd,y,adj
321,familiar,unfamiliar,n,n,n,n,n,n,n,n,y,tbd,y,adj
322,dramatic,lyric,n,n,n,n,n,n,n,n,y,tbd,n,adj
323,obligatory,optional,n,n,n,n,n,n,n,n,y,tbd,n,adj
324,absolute,relative,n,n,n,n,n,n,n,n,y,tbd,n,adj
325,early,late,n,n,n,n,n,n,n,n,y,tbd,n,adj
326,clear,cloudy,n,n,n,n,n,n,n,n,y,tbd,n,adj
327,intoxicated,sober,n,n,n,n,n,n,n,n,y,tbd,n,adj
328,explicit,implicit,n,n,n,n,n,n,n,n,y,tbd,n,adj
329,compound,simple,n,n,n,n,n,n,n,n,y,tbd,n,adj
330,cerebral,emotional,n,n,n,n,n,n,n,n,y,tbd,n,adj
331,analytic,synthetic,n,n,n,n,n,n,n,n,y,tbd,n,adj
332,known,unknown,n,n,n,n,n,n,n,n,y,tbd,y,adj
333,alternating,direct,n,n,n,n,n,n,n,n,y,tbd,n,adj
334,coarse,fine,n,n,n,n,n,n,n,n,y,tbd,n,adj
335,direct,inverse,n,n,n,n,n,n,n,n,y,tbd,n,adj
336,indoor,outdoor,n,n,n,n,n,n,n,n,y,tbd,n,adj
337,medical,surgical,n,n,n,n,n,n,n,n,y,tbd,n,adj
338,aged,young,n,n,n,n,n,n,n,n,y,scalar-unbounded,n,adj
339,complete,incomplete,n,n,n,n,n,n,n,n,y,tbd,y,adj
340,few,many,n,n,n,n,n,n,n,n,y,tbd,n,adj
341,general,local,n,n,n,n,n,n,n,n,y,tbd,n,adj
342,efficient,inefficient,n,n,n,n,n,n,n,n,y,tbd,y,adj
343,short,tall,n,n,n,n,n,n,n,n,y,tbd,n,adj
344,anterior,posterior,n,n,n,n,n,n,n,n,y,tbd,n,adj
345,involuntary,voluntary,n,n,n,n,n,n,n,n,y,tbd,y,adj
346,deep,shallow,n,n,n,n,n,n,n,n,y,tbd,n,adj
347,acute,chronic,n,n,n,n,n,n,n,n,y,tbd,n,adj
348,active,extinct,n,n,n,n,n,n,n,n,y,tbd,n,adj
349,complex,simple,n,n,n,n,n,n,n,n,y,tbd,n,adj
350,endemic,epidemic,n,n,n,n,n,n,n,n,y,tbd,n,adj
352,consistent,inconsistent,n,n,n,n,n,n,n,n,y,tbd,y,adj
353,gross,net,n,n,n,n,n,n,n,n,y,tbd,n,adj
355,irrational,rational,n,n,n,n,n,n,n,n,y,tbd,y,adj
356,abstract,concrete,n,n,n,n,n,n,n,n,y,tbd,n,adj
357,conditional,unconditional,n,n,n,n,n,n,n,n,y,tbd,y,adj
358,intermediate,terminal,n,n,n,n,n,n,n,n,y,tbd,n,adj
359,following,leading,n,n,n,n,n,n,n,n,y,tbd,n,adj
360,fair,unfair,n,n,n,n,n,n,n,n,y,tbd,y,adj
361,conventional,nuclear,n,n,n,n,n,n,n,n,y,tbd,n,adj
362,reliable,unreliable,n,n,n,n,n,n,n,n,y,tbd,y,adj
363,foolish,wise,n,n,n,n,n,n,n,n,y,tbd,n,adj
364,impractical,practical,n,n,n,n,n,n,n,n,y,tbd,y,adj
365,definite,indefinite,n,n,n,n,n,n,n,n,y,tbd,y,adj
366,orthodox,unorthodox,n,n,n,n,n,n,n,n,y,tbd,y,adj
367,relaxed,tense,n,n,n,n,n,n,n,n,y,tbd,n,adj
368,international,national,n,n,n,n,n,n,n,n,y,tbd,n,adj
369,irrelevant,relevant,n,n,n,n,n,n,n,n,y,tbd,y,adj
370,downstairs,upstairs,n,n,n,n,n,n,n,n,y,tbd,n,adj
371,left,right,n,n,n,n,n,n,n,n,y,tbd,n,adj
372,exterior,interior,n,n,n,n,n,n,n,n,y,tbd,n,adj
373,angular,rounded,n,n,n,n,n,n,n,n,y,tbd,n,adj
374,active,inactive,n,n,n,n,n,n,n,n,y,tbd,y,adj
375,nonviolent,violent,n,n,n,n,n,n,n,n,y,tbd,n,adj
376,maternal,paternal,n,n,n,n,n,n,n,n,y,tbd,n,adj
377,imperfect,perfect,n,n,n,n,n,n,n,n,y,tbd,y,adj
378,cooked,raw,n,n,n,n,n,n,n,n,y,tbd,n,adj
379,least,most,n,n,n,n,n,n,n,n,y,tbd,n,adj
380,maximal,minimal,n,n,n,n,n,n,n,n,y,tbd,n,adj
381,intended,unintended,n,n,n,n,n,n,n,n,y,tbd,y,adj
383,nonpartisan,partisan,n,n,n,n,n,n,n,n,y,tbd,y,adj
384,dependent,independent,n,n,n,n,n,n,n,n,y,tbd,y,adj
385,dystopian,utopian,n,n,n,n,n,n,n,n,y,tbd,y,adj
386,unworthy,worthy,n,n,n,n,n,n,n,n,y,tbd,y,adj
387,easy,uneasy,n,n,n,n,n,n,n,n,y,tbd,y,adj
388,green,ripe,n,n,n,n,n,n,n,n,y,tbd,n,adj
390,expected,unexpected,n,n,n,n,n,n,n,n,y,tbd,y,adj
391,geographic,magnetic,n,n,n,n,n,n,n,n,y,tbd,n,adj
392,compact,loose,n,n,n,n,n,n,n,n,y,tbd,n,adj
393,front,rear,n,n,n,n,n,n,n,n,y,tbd,n,adj
394,particular,universal,n,n,n,n,n,n,n,n,y,tbd,n,adj
395,religious,secular,n,n,n,n,n,n,n,n,y,tbd,n,adj
396,nasty,nice,n,n,n,n,n,n,n,n,y,tbd,n,adj
