word1,word2,POS
unavailable,available,adj
good,bad,adj
unrealistic,realistic,adj
inferior,superior,adj
direct,indirect,adj
light,heavy,adj
wild,tame,adj
steep,gradual,adj
upstream,downstream,adj
good,evil,adj
sure,unsure,adj
naive,sophisticated,adj
offensive,defensive,adj
hot,cold,adj
undue,due,adj
dead,living,adj
rough,smooth,adj
armed,unarmed,adj
crooked,straight,adj
plus,minus,adj
outgoing,incoming,adj
extraordinary,ordinary,adj
insignificant,significant,adj
disorderly,orderly,adj
small,large,adj
marked,unmarked,adj
fancy,plain,adj
double,single,adj
legitimate,illegitimate,adj
meaningless,meaningful,adj
unstable,stable,adj
significant,insignificant,adj
unreal,real,adj
responsible,irresponsible,adj
qualitative,quantitative,adj
unloaded,loaded,adj
foul,fair,adj
ineffective,effective,adj
unfocused,focused,adj
mental,physical,adj
compatible,incompatible,adj
conscious,unconscious,adj
convenient,inconvenient,adj
external,internal,adj
unhappy,happy,adj
profound,superficial,adj
overt,covert,adj
healthy,unhealthy,adj
genuine,counterfeit,adj
quantitative,qualitative,adj
accessible,inaccessible,adj
indecent,decent,adj
theoretical,empirical,adj
glad,sad,adj
thick,thin,adj
ineligible,eligible,adj
covert,overt,adj
bare,covered,adj
predictable,unpredictable,adj
abundant,scarce,adj
related,unrelated,adj
uncertain,certain,adj
slow,fast,adj
whole,half,adj
negative,affirmative,adj
quiet,noisy,adj
sour,sweet,adj
unconventional,conventional,adj
unrestricted,restricted,adj
happy,unhappy,adj
unarmed,armed,adj
unpleasant,pleasant,adj
lean,rich,adj
alive,dead,adj
plural,singular,adj
positive,negative,adj
dry,sweet,adj
wrong,right,adj
infinite,finite,adj
anti,pro,adj
useless,useful,adj
familiar,strange,adj
coastal,inland,adj
passive,active,adj
maximum,minimum,adj
unnecessary,necessary,adj
insane,sane,adj
unfamiliar,familiar,adj
lyric,dramatic,adj
incompetent,competent,adj
optional,obligatory,adj
manual,automatic,adj
relative,absolute,adj
early,late,adj
single,double,adj
cloudy,clear,adj
tangible,intangible,adj
sober,intoxicated,adj
pleasant,unpleasant,adj
normal,paranormal,adj
tame,wild,adj
explicit,implicit,adj
simple,compound,adj
cerebral,emotional,adj
synthetic,analytic,adj
incredible,credible,adj
unknown,known,adj
available,unavailable,adj
known,unknown,adj
direct,alternating,adj
individual,common,adj
unlucky,lucky,adj
coarse,fine,adj
single,multiple,adj
specific,general,adj
inverse,direct,adj
outdoor,indoor,adj
surgical,medical,adj
clear,cloudy,adj
aged,young,adj
incomplete,complete,adj
counterfeit,genuine,adj
ugly,beautiful,adj
artificial,natural,adj
dull,sharp,adj
few,many,adj
inaccessible,accessible,adj
general,local,adj
destructive,constructive,adj
regulated,unregulated,adj
efficient,inefficient,adj
short,tall,adj
abnormal,normal,adj
posterior,anterior,adj
possible,impossible,adj
dishonest,honest,adj
insufficient,sufficient,adj
unlimited,limited,adj
busy,idle,adj
minor,major,adj
involuntary,voluntary,adj
shallow,deep,adj
chronic,acute,adj
poor,rich,adj
active,extinct,adj
informal,formal,adj
simple,complex,adj
meaningful,meaningless,adj
unpaid,paid,adj
epidemic,endemic,adj
unwilling,willing,adj
consistent,inconsistent,adj
net,gross,adj
mature,immature,adj
irrational,rational,adj
abstract,concrete,adj
gross,net,adj
safe,out,adj
unconditional,conditional,adj
pessimistic,optimistic,adj
intermediate,terminal,adj
leading,following,adj
fair,unfair,adj
finished,unfinished,adj
nuclear,conventional,adj
unreliable,reliable,adj
inefficient,efficient,adj
direct,inverse,adj
wise,foolish,adj
unsure,sure,adj
vocal,instrumental,adj
unconstitutional,constitutional,adj
impractical,practical,adj
foolish,wise,adj
right,wrong,adj
living,dead,adj
easy,difficult,adj
conservative,liberal,adj
practical,impractical,adj
scarce,abundant,adj
low,high,adj
backward,forward,adj
primary,secondary,adj
con,pro,adj
indefinite,definite,adj
unorthodox,orthodox,adj
tense,relaxed,adj
international,national,adj
internal,external,adj
irrelevant,relevant,adj
upstairs,downstairs,adj
right,left,adj
incoming,outgoing,adj
exterior,interior,adj
angular,rounded,adj
inactive,active,adj
violent,nonviolent,adj
paternal,maternal,adj
stable,unstable,adj
popular,unpopular,adj
perfect,imperfect,adj
unpredictable,predictable,adj
obligatory,optional,adj
raw,cooked,adj
peripheral,central,adj
negative,positive,adj
interior,exterior,adj
urban,rural,adj
relevant,irrelevant,adj
particular,general,adj
rich,poor,adj
most,least,adj
definite,indefinite,adj
official,unofficial,adj
same,other,adj
maximal,minimal,adj
unintended,intended,adj
nonpartisan,partisan,adj
independent,dependent,adj
inland,coastal,adj
emotional,cerebral,adj
complete,incomplete,adj
gradual,steep,adj
minimum,maximum,adj
sad,glad,adj
valid,invalid,adj
rounded,angular,adj
favorable,unfavorable,adj
utopian,dystopian,adj
least,most,adj
worthy,unworthy,adj
illegal,legal,adj
unprepared,prepared,adj
closed,open,adj
uneasy,easy,adj
complex,simple,adj
ripe,green,adj
sophisticated,naive,adj
unexpected,expected,adj
dormant,active,adj
geographic,magnetic,adj
young,old,adj
local,general,adj
compact,loose,adj
minimal,maximal,adj
intended,unintended,adj
front,rear,adj
private,public,adj
easy,uneasy,adj
partisan,nonpartisan,adj
gradual,sudden,adj
proper,improper,adj
integrated,segregated,adj
universal,particular,adj
reliable,unreliable,adj
virtuous,wicked,adj
distant,close,adj
religious,secular,adj
west,east,adj
worn,new,adj
nasty,nice,adj
shut,open,adj
green,ripe,adj
extinct,active,adj
soft,hard,adj
uncommon,common,adj
strong,weak,adj
unauthorized,authorized,adj
more,less,adj
concrete,abstract,adj
conventional,unconventional,adj
detached,attached,adj
hungry,thirsty,adj
sterile,fertile,adj
unfair,fair,adj
tender,tough,adj
defensive,offensive,adj
accurate,inaccurate,adj
lucky,unlucky,adj
open,shut,adj
national,international,adj
fertile,sterile,adj
dirty,clean,adj
impossible,possible,adj
former,latter,adj
eastern,western,adj
curly,straight,adj
dependent,independent,adj
high,low,adj
terminal,intermediate,adj
inclusive,exclusive,adj
military,civilian,adj
theoretical,applied,adj
public,private,adj
compound,simple,adj
heavy,light,adj
unworthy,worthy,adj
loose,tight,adj
active,inactive,adj
safe,dangerous,adj
white,black,adj
useful,useless,adj
future,past,adj
hostile,friendly,adj
real,unreal,adj
rear,front,adj
far,near,adj
probable,improbable,adj
late,early,adj
mild,intense,adj
able,unable,adj
ordinary,extraordinary,adj
increased,decreased,adj
front,back,adj
voluntary,involuntary,adj
different,same,adj
dry,wet,adj
domestic,foreign,adj
present,absent,adj
empirical,theoretical,adj
decentralized,centralized,adj
fit,unfit,adj
proud,humble,adj
strange,familiar,adj
straight,curly,adj
implicit,explicit,adj
dominant,subordinate,adj
unaffected,affected,adj
outward,inward,adj
first,second,adj
intensive,extensive,adj
secular,religious,adj
affirmative,negative,adj
timid,brave,adj
visible,invisible,adj
recorded,live,adj
brave,cowardly,adj
civilian,military,adj
familiar,unfamiliar,adj
fast,slow,adj
large,small,adj
loose,compact,adj
orderly,disorderly,adj
open,close,adj
actual,potential,adj
solid,hollow,adj
empty,full,adj
magnetic,geographic,adj
acute,chronic,adj
earthly,heavenly,adj
centralized,decentralized,adj
male,female,adj
straight,crooked,adj
verbal,numerical,adj
inconvenient,convenient,adj
expected,unexpected,adj
south,north,adj
anterior,posterior,adj
smooth,rough,adj
unnatural,natural,adj
many,few,adj
prospective,retrospective,adj
lively,dull,adj
lawful,unlawful,adj
loaded,unloaded,adj
oral,anal,adj
conventional,nuclear,adj
serious,frivolous,adj
effective,ineffective,adj
secure,insecure,adj
analytic,synthetic,adj
restricted,unrestricted,adj
sweet,sour,adj
first,last,adj
likely,unlikely,adj
real,nominal,adj
north,south,adj
fair,foul,adj
unaware,aware,adj
northern,southern,adj
dead,alive,adj
irresponsible,responsible,adj
valuable,worthless,adj
little,much,adj
active,quiet,adj
dull,lively,adj
incorrect,correct,adj
long,short,adj
full,empty,adj
regular,irregular,adj
clean,dirty,adj
unspecified,specified,adj
irregular,regular,adj
imperfect,perfect,adj
bound,free,adj
tall,short,adj
common,uncommon,adj
latter,former,adj
potential,actual,adj
awake,asleep,adj
realistic,unrealistic,adj
even,odd,adj
illegitimate,legitimate,adj
dead,live,adj
unfit,fit,adj
cheap,expensive,adj
incapable,capable,adj
ill,well,adj
desirable,undesirable,adj
rational,irrational,adj
dull,bright,adj
harmful,harmless,adj
feminine,masculine,adj
unfortunate,fortunate,adj
cold,hot,adj
hard,soft,adj
nonviolent,violent,adj
orthodox,unorthodox,adj
nice,nasty,adj
evil,good,adj
retail,wholesale,adj
unmarked,marked,adj
forward,reverse,adj
senior,junior,adj
unethical,ethical,adj
lax,tense,adj
conditional,unconditional,adj
necessary,unnecessary,adj
left,right,adj
endemic,epidemic,adj
unconscious,conscious,adj
medical,surgical,adj
extinct,extant,adj
fresh,stale,adj
dark,light,adj
unwelcome,welcome,adj
near,far,adj
indoor,outdoor,adj
active,passive,adj
aware,unaware,adj
thin,full,adj
retrospective,prospective,adj
difficult,easy,adj
wet,dry,adj
deep,shallow,adj
stupid,smart,adj
usual,unusual,adj
adoptive,biological,adj
invisible,visible,adj
live,dead,adj
bottom,top,adj
inward,outward,adj
much,little,adj
unreasonable,reasonable,adj
heavenly,earthly,adj
round,square,adj
less,more,adj
singular,plural,adj
female,male,adj
fine,coarse,adj
fortunate,unfortunate,adj
weak,strong,adj
unlikely,likely,adj
short,long,adj
unable,able,adj
dramatic,lyric,adj
natural,artificial,adj
soft,loud,adj
numerical,verbal,adj
western,eastern,adj
frivolous,serious,adj
successful,unsuccessful,adj
physical,mental,adj
absolute,relative,adj
rich,lean,adj
reverse,forward,adj
bad,good,adj
unequal,equal,adj
inconsistent,consistent,adj
