word1,word2,POS
effective,ineffective,adj
mental,physical,adj
conscious,unconscious,adj
convenient,inconvenient,adj
external,internal,adj
happy,unhappy,adj
covert,overt,adj
counterfeit,genuine,adj
accessible,inaccessible,adj
empirical,theoretical,adj
predictable,unpredictable,adj
abundant,scarce,adj
affirmative,negative,adj
sour,sweet,adj
conventional,unconventional,adj
restricted,unrestricted,adj
pleasant,unpleasant,adj
lean,rich,adj
plural,singular,adj
negative,positive,adj
useful,useless,adj
familiar,strange,adj
coastal,inland,adj
maximum,minimum,adj
necessary,unnecessary,adj
familiar,unfamiliar,adj
dramatic,lyric,adj
obligatory,optional,adj
absolute,relative,adj
early,late,adj
clear,cloudy,adj
intoxicated,sober,adj
explicit,implicit,adj
compound,simple,adj
cerebral,emotional,adj
analytic,synthetic,adj
known,unknown,adj
alternating,direct,adj
lucky,unlucky,adj
coarse,fine,adj
direct,inverse,adj
indoor,outdoor,adj
medical,surgical,adj
aged,young,adj
complete,incomplete,adj
few,many,adj
general,local,adj
efficient,inefficient,adj
short,tall,adj
anterior,posterior,adj
impossible,possible,adj
involuntary,voluntary,adj
deep,shallow,adj
acute,chronic,adj
active,extinct,adj
complex,simple,adj
endemic,epidemic,adj
consistent,inconsistent,adj
gross,net,adj
irrational,rational,adj
abstract,concrete,adj
conditional,unconditional,adj
intermediate,terminal,adj
following,leading,adj
fair,unfair,adj
conventional,nuclear,adj
reliable,unreliable,adj
foolish,wise,adj
impractical,practical,adj
definite,indefinite,adj
orthodox,unorthodox,adj
relaxed,tense,adj
international,national,adj
irrelevant,relevant,adj
downstairs,upstairs,adj
left,right,adj
exterior,interior,adj
angular,rounded,adj
active,inactive,adj
nonviolent,violent,adj
maternal,paternal,adj
imperfect,perfect,adj
cooked,raw,adj
least,most,adj
maximal,minimal,adj
intended,unintended,adj
nonpartisan,partisan,adj
dependent,independent,adj
dystopian,utopian,adj
unworthy,worthy,adj
easy,uneasy,adj
green,ripe,adj
expected,unexpected,adj
geographic,magnetic,adj
compact,loose,adj
front,rear,adj
particular,universal,adj
religious,secular,adj
nasty,nice,adj
open,shut,adj
common,uncommon,adj
less,more,adj
hungry,thirsty,adj
fertile,sterile,adj
former,latter,adj
eastern,western,adj
curly,straight,adj
civilian,military,adj
far,near,adj
able,unable,adj
decreased,increased,adj
centralized,decentralized,adj
fit,unfit,adj
inward,outward,adj
invisible,visible,adj
close,open,adj
actual,potential,adj
empty,full,adj
earthly,heavenly,adj
numerical,verbal,adj
north,south,adj
prospective,retrospective,adj
dull,lively,adj
frivolous,serious,adj
likely,unlikely,adj
aware,unaware,adj
little,much,adj
irregular,regular,adj
dead,live,adj
ill,well,adj
fortunate,unfortunate,adj
retail,wholesale,adj
forward,reverse,adj
accept,reject,noun
defendant,plaintiff,noun
closing,opening,noun
follower,leader,noun
fertility,infertility,noun
competence,incompetence,noun
loser,winner,noun
beginning,ending,noun
head,tail,noun
best,worst,noun
creditor,debtor,noun
inner,outer,noun
head,rear,noun
clarity,obscurity,noun
danger,safety,noun
deficit,lead,noun
buy,sell,noun
silence,sound,noun
pull,push,noun
disorder,order,noun
defence,offence,noun
convergence,divergence,noun
intelligence,stupidity,noun
decline,improvement,noun
hardware,software,noun
export,import,noun
analysis,synthesis,noun
preparation,resolution,noun
instability,stability,noun
figure,ground,noun
lock,unlock,noun
acquaintance,stranger,noun
opacity,transparency,noun
dislike,liking,noun
separation,union,noun
birth,death,noun
cash,credit,noun
answer,question,noun
foot,head,noun
boy,girl,noun
borrower,lender,noun
prefix,suffix,noun
obscurity,prominence,noun
equality,inequality,noun
defense,offense,noun
aunt,uncle,noun
dislike,like,noun
immortality,mortality,noun
man,woman,noun
hit,miss,noun
mistrust,trust,noun
location,studio,noun
competition,cooperation,noun
difficulty,ease,noun
bear,bull,noun
credit,debit,noun
employee,employer,noun
action,inaction,noun
joy,sorrow,noun
pain,pleasure,noun
child,parent,noun
insanity,sanity,noun
acceptance,rejection,noun
happiness,sadness,noun
gain,loss,noun
majority,minority,noun
dissatisfaction,satisfaction,noun
poverty,wealth,noun
complexity,simplicity,noun
defeat,victory,noun
progress,regress,noun
deaf,hearing,noun
cry,laugh,noun
nephew,niece,noun
asset,liability,noun
advance,retreat,noun
illness,wellness,noun
distrust,trust,noun
brother,sister,noun
daughter,son,noun
demand,supply,noun
employment,unemployment,noun
certainty,uncertainty,noun
deflation,inflation,noun
consistency,inconsistency,noun
appearance,disappearance,noun
dove,hawk,noun
absence,presence,noun
impossibility,possibility,noun
balance,imbalance,noun
objective,subjective,noun
comedy,tragedy,noun
unwillingness,willingness,noun
finish,start,noun
decrease,increase,noun
intolerance,tolerance,noun
adult,juvenile,noun
penalty,reward,noun
sunrise,sunset,noun
humility,pride,noun
fall,rise,noun
fire,hire,noun
give,take,noun
host,parasite,noun
background,foreground,noun
agreement,disagreement,noun
concentration,distribution,noun
despair,hope,noun
disobedience,obedience,noun
adjective,substantive,noun
falsehood,truth,noun
day,night,noun
comfort,discomfort,noun
shout,whisper,noun
folly,wisdom,noun
capitalism,socialism,noun
conception,misconception,noun
sink,source,noun
narrowing,widening,noun
ability,inability,noun
approval,disapproval,noun
exclusion,inclusion,noun
disrespect,respect,noun
appreciation,depreciation,noun
integration,segregation,noun
abundance,scarcity,noun
analogue,digital,noun
aft,fore,noun
impatient,patient,noun
strengthening,weakening,noun
ancestor,descendant,noun
foe,friend,noun
insecurity,security,noun
husband,wife,noun
defense,prosecution,noun
contraction,expansion,noun
infield,outfield,noun
father,mother,noun
injustice,justice,noun
sleeping,waking,noun
ascent,descent,noun
king,queen,noun
start,stop,noun
enjoy,suffer,verb
align,skew,verb
rise,set,verb
fail,pass,verb
deprive,enrich,verb
change,stay,verb
add,subtract,verb
resist,surrender,verb
feed,starve,verb
boil,freeze,verb
accept,refuse,verb
find,lose,verb
stand,yield,verb
break,keep,verb
criticize,praise,verb
downgrade,upgrade,verb
admit,exclude,verb
applaud,boo,verb
attach,detach,verb
affirm,negate,verb
float,sink,verb
exclude,include,verb
sleep,wake,verb
ascend,descend,verb
reassure,worry,verb
break,make,verb
fold,unfold,verb
claim,forfeit,verb
erase,record,verb
admit,reject,verb
forget,mind,verb
divest,invest,verb
decode,encode,verb
linger,rush,verb
maximize,minimize,verb
ignore,know,verb
ignore,notice,verb
issue,recall,verb
function,malfunction,verb
break,repair,verb
keep,lose,verb
disembark,embark,verb
defend,prosecute,verb
disable,enable,verb
idle,run,verb
relax,tense,verb
sit,stand,verb
forbid,permit,verb
discharge,enlist,verb
narrow,widen,verb
succumb,survive,verb
act,refrain,verb
legalize,outlaw,verb
gather,spread,verb
bounce,clear,verb
depart,stay,verb
disinfect,infect,verb
avoid,confront,verb
divide,multiply,verb
cover,uncover,verb
contract,expand,verb
delay,rush,verb
arm,disarm,verb
unveil,veil,verb
deposit,withdraw,verb
cool,heat,verb
allow,deny,verb
gain,reduce,verb
blur,focus,verb
idle,work,verb
claim,disclaim,verb
strengthen,weaken,verb
admit,deny,verb
lose,profit,verb
approve,disapprove,verb
bless,curse,verb
cheer,complain,verb
hide,show,verb
abolish,establish,verb
absorb,emit,verb
charge,discharge,verb
forget,remember,verb
arrive,leave,verb
attend,miss,verb
complicate,simplify,verb
conserve,waste,verb
lower,raise,verb
appear,disappear,verb
level,raise,verb
enter,exit,verb
differentiate,integrate,verb
differ,equal,verb
empty,fill,verb
shrink,stretch,verb
advance,back,verb
divide,unite,verb
let,prevent,verb
borrow,lend,verb
fail,manage,verb
move,stay,verb
ride,walk,verb
connect,disconnect,verb
