word1,word2,POS
expansion,contraction,noun
unemployment,employment,noun
tolerance,intolerance,noun
junior,senior,noun
regress,progress,noun
poor,rich,noun
wholesale,retail,noun
exclusion,inclusion,noun
outfield,infield,noun
active,passive,noun
ancestor,descendant,noun
presence,absence,noun
mother,father,noun
sweet,dry,noun
wellness,illness,noun
father,mother,noun
thick,thin,noun
shallow,deep,noun
smooth,rough,noun
justice,injustice,noun
juvenile,adult,noun
sanity,insanity,noun
top,bottom,noun
disobedience,obedience,noun
open,close,noun
natural,artificial,noun
obscurity,prominence,noun
agreement,disagreement,noun
retreat,advance,noun
sleeping,waking,noun
narrowing,widening,noun
future,past,noun
sink,source,noun
ascent,descent,noun
long,short,noun
finite,infinite,noun
invisible,visible,noun
appearance,disappearance,noun
strengthening,weakening,noun
uncertainty,certainty,noun
background,foreground,noun
abundance,scarcity,noun
infield,outfield,noun
nephew,niece,noun
cool,warm,noun
contraction,expansion,noun
leader,follower,noun
king,queen,noun
young,aged,noun
wisdom,folly,noun
security,insecurity,noun
incompetence,competence,noun
plus,minus,noun
defense,prosecution,noun
injustice,justice,noun
senior,junior,noun
cash,credit,noun
good,evil,noun
instability,stability,noun
inside,outside,noun
friend,foe,noun
birth,death,noun
dry,wet,noun
inner,outer,noun
stranger,acquaintance,noun
good,bad,noun
local,express,noun
glad,sad,noun
sunset,sunrise,noun
hawk,dove,noun
adjective,substantive,noun
distribution,concentration,noun
sorrow,joy,noun
strength,weakness,noun
love,hate,noun
export,import,noun
possibility,impossibility,noun
large,small,noun
descent,ascent,noun
gain,loss,noun
new,old,noun
appreciation,depreciation,noun
inability,ability,noun
amateur,professional,noun
pride,humility,noun
start,stop,noun
dislike,liking,noun
professional,amateur,noun
bad,good,noun
wife,husband,noun
light,dark,noun
immortal,mortal,noun
war,peace,noun
